,similarity_measure,functional_similarity_measure,quality_measure,corr,pval,domain,architecture,representation_dataset,identifier
40,DistanceCorrelation,Disagreement,spearmanr,0.44209941804931846,0.0032,NLP,BERT-L,sst2,Normal
41,DistanceCorrelation,Disagreement,kendalltau,0.30330989432738914,0.0034,NLP,BERT-L,sst2,Normal
42,DistanceCorrelation,AbsoluteAccDiff,pearsonr,-0.13470668561719085,0.3848,NLP,BERT-L,sst2,Normal
43,DistanceCorrelation,AbsoluteAccDiff,spearmanr,-0.10199245469899858,0.5114,NLP,BERT-L,sst2,Normal
44,DistanceCorrelation,AbsoluteAccDiff,kendalltau,-0.08821556853518846,0.3936,NLP,BERT-L,sst2,Normal
45,EigenspaceOverlapScore,JSD,pearsonr,-0.34055310536779065,0.0302,NLP,BERT-L,sst2,Normal
46,EigenspaceOverlapScore,JSD,spearmanr,-0.38445322793148873,0.0112,NLP,BERT-L,sst2,Normal
47,EigenspaceOverlapScore,JSD,kendalltau,-0.2525252525252525,0.015,NLP,BERT-L,sst2,Normal
48,EigenspaceOverlapScore,Disagreement,pearsonr,-0.13270481857634842,0.388,NLP,BERT-L,sst2,Normal
49,EigenspaceOverlapScore,Disagreement,spearmanr,-0.22236901495736386,0.1266,NLP,BERT-L,sst2,Normal
50,EigenspaceOverlapScore,Disagreement,kendalltau,-0.1455067736300313,0.1664,NLP,BERT-L,sst2,Normal
51,EigenspaceOverlapScore,AbsoluteAccDiff,pearsonr,-0.42657331841814,0.0066,NLP,BERT-L,sst2,Normal
52,EigenspaceOverlapScore,AbsoluteAccDiff,spearmanr,-0.3774248598531506,0.0136,NLP,BERT-L,sst2,Normal
53,EigenspaceOverlapScore,AbsoluteAccDiff,kendalltau,-0.2666982304552209,0.0104,NLP,BERT-L,sst2,Normal
54,IMDScore,JSD,pearsonr,0.027253788313926896,0.8552,NLP,BERT-L,sst2,Normal
55,IMDScore,JSD,spearmanr,0.13438735177865613,0.388,NLP,BERT-L,sst2,Normal
56,IMDScore,JSD,kendalltau,0.07676767676767676,0.4528,NLP,BERT-L,sst2,Normal
57,IMDScore,Disagreement,pearsonr,0.28192680818571614,0.0604,NLP,BERT-L,sst2,Normal
58,IMDScore,Disagreement,spearmanr,0.34763711326766766,0.023,NLP,BERT-L,sst2,Normal
59,IMDScore,Disagreement,kendalltau,0.20903790014455198,0.0464,NLP,BERT-L,sst2,Normal
60,IMDScore,AbsoluteAccDiff,pearsonr,-0.05787066622763405,0.7236,NLP,BERT-L,sst2,Normal
61,IMDScore,AbsoluteAccDiff,spearmanr,-0.06049617138355865,0.7004,NLP,BERT-L,sst2,Normal
62,IMDScore,AbsoluteAccDiff,kendalltau,-0.05128812124138864,0.6418,NLP,BERT-L,sst2,Normal
63,Gulp,JSD,pearsonr,-0.33515742753047434,0.031,NLP,BERT-L,sst2,Normal
64,Gulp,JSD,spearmanr,-0.4706192358366271,0.0016,NLP,BERT-L,sst2,Normal
65,Gulp,JSD,kendalltau,-0.3191919191919192,0.0018,NLP,BERT-L,sst2,Normal
66,Gulp,Disagreement,pearsonr,-0.12543946771050116,0.4134,NLP,BERT-L,sst2,Normal
67,Gulp,Disagreement,spearmanr,-0.2687426184919313,0.0756,NLP,BERT-L,sst2,Normal
68,Gulp,Disagreement,kendalltau,-0.18239581483201106,0.079,NLP,BERT-L,sst2,Normal
69,Gulp,AbsoluteAccDiff,pearsonr,-0.4440210227023326,0.0036,NLP,BERT-L,sst2,Normal
70,Gulp,AbsoluteAccDiff,spearmanr,-0.3592166337878701,0.017,NLP,BERT-L,sst2,Normal
71,Gulp,AbsoluteAccDiff,kendalltau,-0.23797688256004326,0.026,NLP,BERT-L,sst2,Normal
72,LinearRegression,JSD,pearsonr,-0.11376715791732206,0.2802,NLP,BERT-L,sst2,Normal
73,LinearRegression,JSD,spearmanr,-0.14272718161934833,0.1674,NLP,BERT-L,sst2,Normal
74,LinearRegression,JSD,kendalltau,-0.0979299998528732,0.1716,NLP,BERT-L,sst2,Normal
75,LinearRegression,Disagreement,pearsonr,0.2638787000077782,0.0106,NLP,BERT-L,sst2,Normal
76,LinearRegression,Disagreement,spearmanr,0.20686182977325748,0.0502,NLP,BERT-L,sst2,Normal
77,LinearRegression,Disagreement,kendalltau,0.13908293628007673,0.0552,NLP,BERT-L,sst2,Normal
78,LinearRegression,AbsoluteAccDiff,pearsonr,-0.43286352747190054,0.0002,NLP,BERT-L,sst2,Normal
79,LinearRegression,AbsoluteAccDiff,spearmanr,-0.37809699691291565,0.0006,NLP,BERT-L,sst2,Normal
80,LinearRegression,AbsoluteAccDiff,kendalltau,-0.263155726385705,0.0002,NLP,BERT-L,sst2,Normal
81,JaccardSimilarity,JSD,pearsonr,0.44024210463943914,0.0012,NLP,BERT-L,sst2,Normal
82,JaccardSimilarity,JSD,spearmanr,0.464558629776021,0.0018,NLP,BERT-L,sst2,Normal
83,JaccardSimilarity,JSD,kendalltau,0.3414141414141414,0.0012,NLP,BERT-L,sst2,Normal
84,JaccardSimilarity,Disagreement,pearsonr,0.07483569540827253,0.6222,NLP,BERT-L,sst2,Normal
85,JaccardSimilarity,Disagreement,spearmanr,0.0909001787633484,0.5652,NLP,BERT-L,sst2,Normal
86,JaccardSimilarity,Disagreement,kendalltau,0.04713599709141859,0.6526,NLP,BERT-L,sst2,Normal
87,JaccardSimilarity,AbsoluteAccDiff,pearsonr,0.20730022150272429,0.1664,NLP,BERT-L,sst2,Normal
88,JaccardSimilarity,AbsoluteAccDiff,spearmanr,0.17343995045515342,0.2514,NLP,BERT-L,sst2,Normal
89,JaccardSimilarity,AbsoluteAccDiff,kendalltau,0.12309149097933272,0.2454,NLP,BERT-L,sst2,Normal
90,RankSimilarity,JSD,pearsonr,0.48446132281127463,0.0006,NLP,BERT-L,sst2,Normal
91,RankSimilarity,JSD,spearmanr,0.4874835309617918,0.0008,NLP,BERT-L,sst2,Normal
92,RankSimilarity,JSD,kendalltau,0.36161616161616156,0.0004,NLP,BERT-L,sst2,Normal
93,RankSimilarity,Disagreement,pearsonr,0.10235640895253063,0.503,NLP,BERT-L,sst2,Normal
94,RankSimilarity,Disagreement,spearmanr,0.11161328190681094,0.48,NLP,BERT-L,sst2,Normal
95,RankSimilarity,Disagreement,kendalltau,0.07172869122607177,0.5014,NLP,BERT-L,sst2,Normal
96,RankSimilarity,AbsoluteAccDiff,pearsonr,0.19013995579649445,0.214,NLP,BERT-L,sst2,Normal
97,RankSimilarity,AbsoluteAccDiff,spearmanr,0.14216930134304134,0.3576,NLP,BERT-L,sst2,Normal
98,RankSimilarity,AbsoluteAccDiff,kendalltau,0.10052471763312172,0.3392,NLP,BERT-L,sst2,Normal
99,SecondOrderCosineSimilarity,JSD,pearsonr,0.41211355851556786,0.0048,NLP,BERT-L,sst2,Normal
100,SecondOrderCosineSimilarity,JSD,spearmanr,0.4055335968379446,0.0064,NLP,BERT-L,sst2,Normal
101,SecondOrderCosineSimilarity,JSD,kendalltau,0.2909090909090909,0.0046,NLP,BERT-L,sst2,Normal
102,SecondOrderCosineSimilarity,Disagreement,pearsonr,-0.024612786065848595,0.8726,NLP,BERT-L,sst2,Normal
103,SecondOrderCosineSimilarity,Disagreement,spearmanr,-0.0002638611865409242,0.9892,NLP,BERT-L,sst2,Normal
104,SecondOrderCosineSimilarity,Disagreement,kendalltau,-0.018444520600989882,0.873,NLP,BERT-L,sst2,Normal
105,SecondOrderCosineSimilarity,AbsoluteAccDiff,pearsonr,0.2952825106263134,0.0444,NLP,BERT-L,sst2,Normal
106,SecondOrderCosineSimilarity,AbsoluteAccDiff,spearmanr,0.30083156107854686,0.0496,NLP,BERT-L,sst2,Normal
107,SecondOrderCosineSimilarity,AbsoluteAccDiff,kendalltau,0.19489486071727682,0.0638,NLP,BERT-L,sst2,Normal
108,AlignedCosineSimilarity,JSD,pearsonr,0.5192496689148136,0.0002,NLP,BERT-L,sst2,Normal
109,AlignedCosineSimilarity,JSD,spearmanr,0.40382081686429505,0.007,NLP,BERT-L,sst2,Normal
110,AlignedCosineSimilarity,JSD,kendalltau,0.28888888888888886,0.0048,NLP,BERT-L,sst2,Normal
111,AlignedCosineSimilarity,Disagreement,pearsonr,0.17038650797837526,0.2628,NLP,BERT-L,sst2,Normal
112,AlignedCosineSimilarity,Disagreement,spearmanr,0.15264369641392467,0.3298,NLP,BERT-L,sst2,Normal
113,AlignedCosineSimilarity,Disagreement,kendalltau,0.11476590596171482,0.2706,NLP,BERT-L,sst2,Normal
114,AlignedCosineSimilarity,AbsoluteAccDiff,pearsonr,0.1308965313650732,0.3912,NLP,BERT-L,sst2,Normal
115,AlignedCosineSimilarity,AbsoluteAccDiff,spearmanr,0.020847099408074738,0.897,NLP,BERT-L,sst2,Normal
116,AlignedCosineSimilarity,AbsoluteAccDiff,kendalltau,0.03077287274483318,0.7728,NLP,BERT-L,sst2,Normal
117,OrthogonalAngularShapeMetricCentered,JSD,pearsonr,0.3407178130043519,0.0208,NLP,BERT-L,sst2,Normal
118,OrthogonalAngularShapeMetricCentered,JSD,spearmanr,0.2936758893280632,0.0516,NLP,BERT-L,sst2,Normal
119,OrthogonalAngularShapeMetricCentered,JSD,kendalltau,0.22424242424242424,0.0306,NLP,BERT-L,sst2,Normal
120,OrthogonalAngularShapeMetricCentered,Disagreement,pearsonr,0.3845953615329461,0.007,NLP,BERT-L,sst2,Normal
121,OrthogonalAngularShapeMetricCentered,Disagreement,spearmanr,0.3883377012916053,0.0074,NLP,BERT-L,sst2,Normal
122,OrthogonalAngularShapeMetricCentered,Disagreement,kendalltau,0.27256902665907273,0.008,NLP,BERT-L,sst2,Normal
123,OrthogonalAngularShapeMetricCentered,AbsoluteAccDiff,pearsonr,-0.11813846127349878,0.4418,NLP,BERT-L,sst2,Normal
124,OrthogonalAngularShapeMetricCentered,AbsoluteAccDiff,spearmanr,-0.14157555484091264,0.354,NLP,BERT-L,sst2,Normal
125,OrthogonalAngularShapeMetricCentered,AbsoluteAccDiff,kendalltau,-0.09847319278346618,0.3532,NLP,BERT-L,sst2,Normal
126,OrthogonalProcrustesCenteredAndNormalized,JSD,pearsonr,0.3400468001997419,0.0186,NLP,BERT-L,sst2,Normal
127,OrthogonalProcrustesCenteredAndNormalized,JSD,spearmanr,0.2936758893280632,0.0526,NLP,BERT-L,sst2,Normal
128,OrthogonalProcrustesCenteredAndNormalized,JSD,kendalltau,0.22424242424242424,0.0342,NLP,BERT-L,sst2,Normal
129,OrthogonalProcrustesCenteredAndNormalized,Disagreement,pearsonr,0.38411852841998356,0.0092,NLP,BERT-L,sst2,Normal
130,OrthogonalProcrustesCenteredAndNormalized,Disagreement,spearmanr,0.3883377012916053,0.009,NLP,BERT-L,sst2,Normal
131,OrthogonalProcrustesCenteredAndNormalized,Disagreement,kendalltau,0.27256902665907273,0.009,NLP,BERT-L,sst2,Normal
132,OrthogonalProcrustesCenteredAndNormalized,AbsoluteAccDiff,pearsonr,-0.11875853392305273,0.4322,NLP,BERT-L,sst2,Normal
133,OrthogonalProcrustesCenteredAndNormalized,AbsoluteAccDiff,spearmanr,-0.14157555484091264,0.357,NLP,BERT-L,sst2,Normal
134,OrthogonalProcrustesCenteredAndNormalized,AbsoluteAccDiff,kendalltau,-0.09847319278346618,0.358,NLP,BERT-L,sst2,Normal
135,PermutationProcrustes,JSD,pearsonr,-0.10557048175284496,0.4954,NLP,BERT-L,sst2,Normal
136,PermutationProcrustes,JSD,spearmanr,-0.13069828722002635,0.3918,NLP,BERT-L,sst2,Normal
137,PermutationProcrustes,JSD,kendalltau,-0.08686868686868686,0.4104,NLP,BERT-L,sst2,Normal
138,PermutationProcrustes,Disagreement,pearsonr,0.0011919421033377078,0.979,NLP,BERT-L,sst2,Normal
139,PermutationProcrustes,Disagreement,spearmanr,0.04136024099028987,0.7898,NLP,BERT-L,sst2,Normal
140,PermutationProcrustes,Disagreement,kendalltau,0.02664208531254094,0.8028,NLP,BERT-L,sst2,Normal
141,PermutationProcrustes,AbsoluteAccDiff,pearsonr,-0.09747546417656083,0.533,NLP,BERT-L,sst2,Normal
142,PermutationProcrustes,AbsoluteAccDiff,spearmanr,-0.09117307399354205,0.5358,NLP,BERT-L,sst2,Normal
143,PermutationProcrustes,AbsoluteAccDiff,kendalltau,-0.05744269579035527,0.6052,NLP,BERT-L,sst2,Normal
144,ProcrustesSizeAndShapeDistance,JSD,pearsonr,0.4359178853331428,0.003,NLP,BERT-L,sst2,Normal
145,ProcrustesSizeAndShapeDistance,JSD,spearmanr,0.40092226613965737,0.0064,NLP,BERT-L,sst2,Normal
146,ProcrustesSizeAndShapeDistance,JSD,kendalltau,0.27878787878787875,0.006,NLP,BERT-L,sst2,Normal
147,ProcrustesSizeAndShapeDistance,Disagreement,pearsonr,0.2458525284989953,0.1026,NLP,BERT-L,sst2,Normal
148,ProcrustesSizeAndShapeDistance,Disagreement,spearmanr,0.27223877921359857,0.0682,NLP,BERT-L,sst2,Normal
149,ProcrustesSizeAndShapeDistance,Disagreement,kendalltau,0.18239581483201106,0.0864,NLP,BERT-L,sst2,Normal
150,ProcrustesSizeAndShapeDistance,AbsoluteAccDiff,pearsonr,0.2219674872981087,0.147,NLP,BERT-L,sst2,Normal
151,ProcrustesSizeAndShapeDistance,AbsoluteAccDiff,spearmanr,0.09559318684272244,0.5302,NLP,BERT-L,sst2,Normal
152,ProcrustesSizeAndShapeDistance,AbsoluteAccDiff,kendalltau,0.07385489458759963,0.4896,NLP,BERT-L,sst2,Normal
153,RSA,JSD,pearsonr,0.3452622730621316,0.0218,NLP,BERT-L,sst2,Normal
154,RSA,JSD,spearmanr,0.34150197628458495,0.023,NLP,BERT-L,sst2,Normal
155,RSA,JSD,kendalltau,0.24444444444444444,0.02,NLP,BERT-L,sst2,Normal
156,RSA,Disagreement,pearsonr,0.5305106364658173,0.0006,NLP,BERT-L,sst2,Normal
157,RSA,Disagreement,spearmanr,0.5186851274428218,0.0004,NLP,BERT-L,sst2,Normal
158,RSA,Disagreement,kendalltau,0.3524952825966955,0.001,NLP,BERT-L,sst2,Normal
159,RSA,AbsoluteAccDiff,pearsonr,-0.2353652835893918,0.1162,NLP,BERT-L,sst2,Normal
160,RSA,AbsoluteAccDiff,spearmanr,-0.2326826570008848,0.116,NLP,BERT-L,sst2,Normal
161,RSA,AbsoluteAccDiff,kendalltau,-0.16412198797244362,0.1158,NLP,BERT-L,sst2,Normal
162,RSMNormDifference,JSD,pearsonr,0.3724393769033523,0.0092,NLP,BERT-L,sst2,Normal
163,RSMNormDifference,JSD,spearmanr,0.34505928853754936,0.0192,NLP,BERT-L,sst2,Normal
164,RSMNormDifference,JSD,kendalltau,0.24444444444444444,0.017,NLP,BERT-L,sst2,Normal
165,RSMNormDifference,Disagreement,pearsonr,-0.07941604837951889,0.5958,NLP,BERT-L,sst2,Normal
166,RSMNormDifference,Disagreement,spearmanr,-0.02955245289258351,0.8388,NLP,BERT-L,sst2,Normal
167,RSMNormDifference,Disagreement,kendalltau,-0.04713599709141859,0.6706,NLP,BERT-L,sst2,Normal
168,RSMNormDifference,AbsoluteAccDiff,pearsonr,0.31626031755057904,0.0334,NLP,BERT-L,sst2,Normal
169,RSMNormDifference,AbsoluteAccDiff,spearmanr,0.2000925712173756,0.1948,NLP,BERT-L,sst2,Normal
170,RSMNormDifference,AbsoluteAccDiff,kendalltau,0.135400640077266,0.1992,NLP,BERT-L,sst2,Normal
171,ConcentricityDifference,JSD,pearsonr,0.15930246021012756,0.2884,NLP,BERT-L,sst2,Normal
172,ConcentricityDifference,JSD,spearmanr,0.04888010540184453,0.7468,NLP,BERT-L,sst2,Normal
173,ConcentricityDifference,JSD,kendalltau,0.032323232323232316,0.7438,NLP,BERT-L,sst2,Normal
174,ConcentricityDifference,Disagreement,pearsonr,-0.23652862842497804,0.1166,NLP,BERT-L,sst2,Normal
175,ConcentricityDifference,Disagreement,spearmanr,-0.20891209444377676,0.165,NLP,BERT-L,sst2,Normal
176,ConcentricityDifference,Disagreement,kendalltau,-0.14345738245214354,0.168,NLP,BERT-L,sst2,Normal
177,ConcentricityDifference,AbsoluteAccDiff,pearsonr,0.14502204208235392,0.3356,NLP,BERT-L,sst2,Normal
178,ConcentricityDifference,AbsoluteAccDiff,spearmanr,0.11505487774583022,0.4454,NLP,BERT-L,sst2,Normal
179,ConcentricityDifference,AbsoluteAccDiff,kendalltau,0.07590641943725518,0.4894,NLP,BERT-L,sst2,Normal
180,MagnitudeDifference,JSD,pearsonr,0.13006469025097878,0.4008,NLP,BERT-L,sst2,Normal
181,MagnitudeDifference,JSD,spearmanr,0.0227931488801054,0.8988,NLP,BERT-L,sst2,Normal
182,MagnitudeDifference,JSD,kendalltau,0.016161616161616158,0.8842,NLP,BERT-L,sst2,Normal
183,MagnitudeDifference,Disagreement,pearsonr,-0.039801152093454036,0.8062,NLP,BERT-L,sst2,Normal
184,MagnitudeDifference,Disagreement,spearmanr,-0.061017899387588725,0.6772,NLP,BERT-L,sst2,Normal
185,MagnitudeDifference,Disagreement,kendalltau,-0.034839650024092,0.7654,NLP,BERT-L,sst2,Normal
186,MagnitudeDifference,AbsoluteAccDiff,pearsonr,-0.09224386622711715,0.5572,NLP,BERT-L,sst2,Normal
187,MagnitudeDifference,AbsoluteAccDiff,spearmanr,-0.13464851231607766,0.3698,NLP,BERT-L,sst2,Normal
188,MagnitudeDifference,AbsoluteAccDiff,kendalltau,-0.090267093384844,0.3926,NLP,BERT-L,sst2,Normal
189,UniformityDifference,JSD,pearsonr,0.15083050742251916,0.3096,NLP,BERT-L,sst2,Normal
190,UniformityDifference,JSD,spearmanr,0.3474308300395257,0.0212,NLP,BERT-L,sst2,Normal
191,UniformityDifference,JSD,kendalltau,0.2505050505050505,0.0158,NLP,BERT-L,sst2,Normal
192,UniformityDifference,Disagreement,pearsonr,-0.22758313669917768,0.1368,NLP,BERT-L,sst2,Normal
193,UniformityDifference,Disagreement,spearmanr,-0.09505599245136795,0.5208,NLP,BERT-L,sst2,Normal
194,UniformityDifference,Disagreement,kendalltau,-0.0983707765386127,0.3536,NLP,BERT-L,sst2,Normal
195,UniformityDifference,AbsoluteAccDiff,pearsonr,0.6460864209297688,0.0002,NLP,BERT-L,sst2,Normal
196,UniformityDifference,AbsoluteAccDiff,spearmanr,0.3456264360724796,0.0206,NLP,BERT-L,sst2,Normal
197,UniformityDifference,AbsoluteAccDiff,kendalltau,0.23387383286073216,0.0226,NLP,BERT-L,sst2,Normal
198,CKA,JSD,pearsonr,0.4371560512263698,0.0018,NLP,BERT-L,sst2,Normal
199,CKA,JSD,spearmanr,0.3926218708827405,0.0082,NLP,BERT-L,sst2,Normal
200,CKA,JSD,kendalltau,0.2727272727272727,0.0084,NLP,BERT-L,sst2,Normal
201,CKA,Disagreement,pearsonr,0.4546386026693717,0.002,NLP,BERT-L,sst2,Normal
202,CKA,Disagreement,spearmanr,0.42725722630639157,0.0054,NLP,BERT-L,sst2,Normal
203,CKA,Disagreement,kendalltau,0.2889641560821748,0.0058,NLP,BERT-L,sst2,Normal
204,CKA,AbsoluteAccDiff,pearsonr,-0.10219333816319635,0.501,NLP,BERT-L,sst2,Normal
205,CKA,AbsoluteAccDiff,spearmanr,-0.06115588971925723,0.69,NLP,BERT-L,sst2,Normal
206,CKA,AbsoluteAccDiff,kendalltau,-0.05128812124138864,0.6316,NLP,BERT-L,sst2,Normal
