,similarity_measure,quality_measure,model,value,domain,architecture,representation_dataset,identifier
42,DistanceCorrelation,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.05419580419580419,NLP,BERT-L,mnli,Augmentation_0
43,DistanceCorrelation,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.9652468743377834,NLP,BERT-L,mnli,Augmentation_0
44,DistanceCorrelation,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.0472027972027972,NLP,BERT-L,mnli,Augmentation_0
45,DistanceCorrelation,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.9718955287137105,NLP,BERT-L,mnli,Augmentation_0
46,DistanceCorrelation,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.04020979020979021,NLP,BERT-L,mnli,Augmentation_0
47,DistanceCorrelation,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,0.977336300063573,NLP,BERT-L,mnli,Augmentation_0
48,DistanceCorrelation,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.005244755244755245,NLP,BERT-L,mnli,Augmentation_0
49,DistanceCorrelation,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,1.0,NLP,BERT-L,mnli,Augmentation_0
50,EigenspaceOverlapScore,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.02097902097902098,NLP,BERT-L,mnli,Augmentation_0
51,EigenspaceOverlapScore,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.9918662584460148,NLP,BERT-L,mnli,Augmentation_0
52,EigenspaceOverlapScore,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.01048951048951049,NLP,BERT-L,mnli,Augmentation_0
53,EigenspaceOverlapScore,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.9974570883661792,NLP,BERT-L,mnli,Augmentation_0
54,EigenspaceOverlapScore,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.019230769230769232,NLP,BERT-L,mnli,Augmentation_0
55,EigenspaceOverlapScore,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.9939605848696758,NLP,BERT-L,mnli,Augmentation_0
56,EigenspaceOverlapScore,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.026223776223776224,NLP,BERT-L,mnli,Augmentation_0
57,EigenspaceOverlapScore,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,0.9797007231812406,NLP,BERT-L,mnli,Augmentation_0
58,EigenspaceOverlapScore,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.01048951048951049,NLP,BERT-L,mnli,Augmentation_0
59,EigenspaceOverlapScore,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,0.9964178320847694,NLP,BERT-L,mnli,Augmentation_0
60,IMDScore,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.30244755244755245,NLP,BERT-L,mnli,Augmentation_0
61,IMDScore,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.4957512184784912,NLP,BERT-L,mnli,Augmentation_0
62,IMDScore,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.3269230769230769,NLP,BERT-L,mnli,Augmentation_0
63,IMDScore,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.3650258832077014,NLP,BERT-L,mnli,Augmentation_0
64,IMDScore,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.34440559440559443,NLP,BERT-L,mnli,Augmentation_0
65,IMDScore,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.40310220082947357,NLP,BERT-L,mnli,Augmentation_0
66,IMDScore,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.31993006993006995,NLP,BERT-L,mnli,Augmentation_0
67,IMDScore,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,0.4078943783489237,NLP,BERT-L,mnli,Augmentation_0
68,IMDScore,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.3146853146853147,NLP,BERT-L,mnli,Augmentation_0
69,IMDScore,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,0.506093906093906,NLP,BERT-L,mnli,Augmentation_0
70,Gulp,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.16958041958041958,NLP,BERT-L,mnli,Augmentation_0
71,Gulp,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.5028100687191596,NLP,BERT-L,mnli,Augmentation_0
72,Gulp,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.15734265734265734,NLP,BERT-L,mnli,Augmentation_0
73,Gulp,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.5171843308206945,NLP,BERT-L,mnli,Augmentation_0
74,Gulp,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.17832167832167833,NLP,BERT-L,mnli,Augmentation_0
75,Gulp,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.4867912390639663,NLP,BERT-L,mnli,Augmentation_0
76,Gulp,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.1555944055944056,NLP,BERT-L,mnli,Augmentation_0
77,Gulp,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,0.5169883147155874,NLP,BERT-L,mnli,Augmentation_0
78,Gulp,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.16258741258741258,NLP,BERT-L,mnli,Augmentation_0
79,Gulp,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,0.5071345321345321,NLP,BERT-L,mnli,Augmentation_0
80,LinearRegression,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.23251748251748253,NLP,BERT-L,mnli,Augmentation_0
81,LinearRegression,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.5850225532043715,NLP,BERT-L,mnli,Augmentation_0
82,LinearRegression,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.1590909090909091,NLP,BERT-L,mnli,Augmentation_0
83,LinearRegression,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.770186631550268,NLP,BERT-L,mnli,Augmentation_0
84,LinearRegression,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.17307692307692307,NLP,BERT-L,mnli,Augmentation_0
85,LinearRegression,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.22022598613507707,NLP,BERT-L,mnli,Augmentation_0
86,LinearRegression,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.1258741258741259,NLP,BERT-L,mnli,Augmentation_0
87,LinearRegression,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,0.9071489116943661,NLP,BERT-L,mnli,Augmentation_0
88,LinearRegression,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.14335664335664336,NLP,BERT-L,mnli,Augmentation_0
89,LinearRegression,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,0.8206899161444617,NLP,BERT-L,mnli,Augmentation_0
90,JaccardSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.033216783216783216,NLP,BERT-L,mnli,Augmentation_0
91,JaccardSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.9812354312354312,NLP,BERT-L,mnli,Augmentation_0
92,JaccardSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.0472027972027972,NLP,BERT-L,mnli,Augmentation_0
93,JaccardSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.9685314685314684,NLP,BERT-L,mnli,Augmentation_0
94,JaccardSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.07167832167832168,NLP,BERT-L,mnli,Augmentation_0
95,JaccardSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.940241576605213,NLP,BERT-L,mnli,Augmentation_0
96,JaccardSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.043706293706293704,NLP,BERT-L,mnli,Augmentation_0
97,JaccardSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,0.9745708836617927,NLP,BERT-L,mnli,Augmentation_0
98,JaccardSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.06468531468531469,NLP,BERT-L,mnli,Augmentation_0
99,JaccardSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,0.94723458359822,NLP,BERT-L,mnli,Augmentation_0
100,RankSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.06993006993006994,NLP,BERT-L,mnli,Augmentation_0
101,RankSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.9180909999091817,NLP,BERT-L,mnli,Augmentation_0
102,RankSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.057692307692307696,NLP,BERT-L,mnli,Augmentation_0
103,RankSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.9275080979626434,NLP,BERT-L,mnli,Augmentation_0
104,RankSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.08041958041958042,NLP,BERT-L,mnli,Augmentation_0
105,RankSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.8393386916114189,NLP,BERT-L,mnli,Augmentation_0
106,RankSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.06818181818181818,NLP,BERT-L,mnli,Augmentation_0
107,RankSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,0.9127864559682741,NLP,BERT-L,mnli,Augmentation_0
108,RankSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.08391608391608392,NLP,BERT-L,mnli,Augmentation_0
109,RankSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,0.9012298307752854,NLP,BERT-L,mnli,Augmentation_0
110,SecondOrderCosineSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.012237762237762238,NLP,BERT-L,mnli,Augmentation_0
111,SecondOrderCosineSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,1.0,NLP,BERT-L,mnli,Augmentation_0
112,SecondOrderCosineSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.11363636363636363,NLP,BERT-L,mnli,Augmentation_0
113,SecondOrderCosineSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.8504586322768141,NLP,BERT-L,mnli,Augmentation_0
114,SecondOrderCosineSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.026223776223776224,NLP,BERT-L,mnli,Augmentation_0
115,SecondOrderCosineSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,1.0,NLP,BERT-L,mnli,Augmentation_0
116,SecondOrderCosineSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.005244755244755245,NLP,BERT-L,mnli,Augmentation_0
117,SecondOrderCosineSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,1.0,NLP,BERT-L,mnli,Augmentation_0
118,SecondOrderCosineSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.1451048951048951,NLP,BERT-L,mnli,Augmentation_0
119,SecondOrderCosineSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,0.8303408712499624,NLP,BERT-L,mnli,Augmentation_0
120,AlignedCosineSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.012237762237762238,NLP,BERT-L,mnli,Augmentation_0
121,AlignedCosineSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.9949368813005176,NLP,BERT-L,mnli,Augmentation_0
122,AlignedCosineSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.0,NLP,BERT-L,mnli,Augmentation_0
123,AlignedCosineSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,1.0,NLP,BERT-L,mnli,Augmentation_0
124,AlignedCosineSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.0,NLP,BERT-L,mnli,Augmentation_0
125,AlignedCosineSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,1.0,NLP,BERT-L,mnli,Augmentation_0
126,AlignedCosineSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.0,NLP,BERT-L,mnli,Augmentation_0
127,AlignedCosineSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,1.0,NLP,BERT-L,mnli,Augmentation_0
128,AlignedCosineSimilarity,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.0017482517482517483,NLP,BERT-L,mnli,Augmentation_0
129,AlignedCosineSimilarity,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,0.9996821360457724,NLP,BERT-L,mnli,Augmentation_0
130,OrthogonalAngularShapeMetricCentered,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.02097902097902098,NLP,BERT-L,mnli,Augmentation_0
131,OrthogonalAngularShapeMetricCentered,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.9917355371900828,NLP,BERT-L,mnli,Augmentation_0
132,OrthogonalAngularShapeMetricCentered,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.01048951048951049,NLP,BERT-L,mnli,Augmentation_0
133,OrthogonalAngularShapeMetricCentered,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.9971392244119517,NLP,BERT-L,mnli,Augmentation_0
134,OrthogonalAngularShapeMetricCentered,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.008741258741258742,NLP,BERT-L,mnli,Augmentation_0
135,OrthogonalAngularShapeMetricCentered,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.9971392244119517,NLP,BERT-L,mnli,Augmentation_0
136,OrthogonalAngularShapeMetricCentered,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.008741258741258742,NLP,BERT-L,mnli,Augmentation_0
137,OrthogonalAngularShapeMetricCentered,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,0.9980928162746345,NLP,BERT-L,mnli,Augmentation_0
138,OrthogonalAngularShapeMetricCentered,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.008741258741258742,NLP,BERT-L,mnli,Augmentation_0
139,OrthogonalAngularShapeMetricCentered,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,0.9974570883661792,NLP,BERT-L,mnli,Augmentation_0
140,OrthogonalProcrustesCenteredAndNormalized,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.033216783216783216,NLP,BERT-L,mnli,Augmentation_0
141,OrthogonalProcrustesCenteredAndNormalized,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.9809281627463445,NLP,BERT-L,mnli,Augmentation_0
142,OrthogonalProcrustesCenteredAndNormalized,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.013986013986013986,NLP,BERT-L,mnli,Augmentation_0
143,OrthogonalProcrustesCenteredAndNormalized,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.9952320406865861,NLP,BERT-L,mnli,Augmentation_0
144,OrthogonalProcrustesCenteredAndNormalized,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.026223776223776224,NLP,BERT-L,mnli,Augmentation_0
145,OrthogonalProcrustesCenteredAndNormalized,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.9898283534647171,NLP,BERT-L,mnli,Augmentation_0
146,OrthogonalProcrustesCenteredAndNormalized,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.033216783216783216,NLP,BERT-L,mnli,Augmentation_0
147,OrthogonalProcrustesCenteredAndNormalized,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,0.9809281627463445,NLP,BERT-L,mnli,Augmentation_0
148,OrthogonalProcrustesCenteredAndNormalized,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.012237762237762238,NLP,BERT-L,mnli,Augmentation_0
149,OrthogonalProcrustesCenteredAndNormalized,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,0.9968213604577241,NLP,BERT-L,mnli,Augmentation_0
150,PermutationProcrustes,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.24475524475524477,NLP,BERT-L,mnli,Augmentation_0
151,PermutationProcrustes,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.6375276238912603,NLP,BERT-L,mnli,Augmentation_0
152,PermutationProcrustes,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.23426573426573427,NLP,BERT-L,mnli,Augmentation_0
153,PermutationProcrustes,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.7342142705779069,NLP,BERT-L,mnli,Augmentation_0
154,PermutationProcrustes,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.15384615384615385,NLP,BERT-L,mnli,Augmentation_0
155,PermutationProcrustes,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.7749735113371478,NLP,BERT-L,mnli,Augmentation_0
156,PermutationProcrustes,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.13286713286713286,NLP,BERT-L,mnli,Augmentation_0
157,PermutationProcrustes,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,0.8118971937153756,NLP,BERT-L,mnli,Augmentation_0
158,PermutationProcrustes,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.25,NLP,BERT-L,mnli,Augmentation_0
159,PermutationProcrustes,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,0.6755365846274939,NLP,BERT-L,mnli,Augmentation_0
160,ProcrustesSizeAndShapeDistance,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.045454545454545456,NLP,BERT-L,mnli,Augmentation_0
161,ProcrustesSizeAndShapeDistance,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.8997820361456725,NLP,BERT-L,mnli,Augmentation_0
162,ProcrustesSizeAndShapeDistance,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.02972027972027972,NLP,BERT-L,mnli,Augmentation_0
163,ProcrustesSizeAndShapeDistance,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.9416083916083916,NLP,BERT-L,mnli,Augmentation_0
164,ProcrustesSizeAndShapeDistance,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.05244755244755245,NLP,BERT-L,mnli,Augmentation_0
165,ProcrustesSizeAndShapeDistance,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.8900826446280992,NLP,BERT-L,mnli,Augmentation_0
166,ProcrustesSizeAndShapeDistance,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.03496503496503497,NLP,BERT-L,mnli,Augmentation_0
167,ProcrustesSizeAndShapeDistance,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,0.9140178003814367,NLP,BERT-L,mnli,Augmentation_0
168,ProcrustesSizeAndShapeDistance,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.033216783216783216,NLP,BERT-L,mnli,Augmentation_0
169,ProcrustesSizeAndShapeDistance,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,0.9315638906547996,NLP,BERT-L,mnli,Augmentation_0
170,RSA,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.006993006993006993,NLP,BERT-L,mnli,Augmentation_0
171,RSA,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,1.0,NLP,BERT-L,mnli,Augmentation_0
172,RSA,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.0034965034965034965,NLP,BERT-L,mnli,Augmentation_0
173,RSA,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,1.0,NLP,BERT-L,mnli,Augmentation_0
174,RSA,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.033216783216783216,NLP,BERT-L,mnli,Augmentation_0
175,RSA,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.9990909090909093,NLP,BERT-L,mnli,Augmentation_0
176,RSA,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.0,NLP,BERT-L,mnli,Augmentation_0
177,RSA,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,1.0,NLP,BERT-L,mnli,Augmentation_0
178,RSA,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.026223776223776224,NLP,BERT-L,mnli,Augmentation_0
179,RSA,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,1.0,NLP,BERT-L,mnli,Augmentation_0
180,RSMNormDifference,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.05944055944055944,NLP,BERT-L,mnli,Augmentation_0
181,RSMNormDifference,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.8024475524475524,NLP,BERT-L,mnli,Augmentation_0
182,RSMNormDifference,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.04195804195804196,NLP,BERT-L,mnli,Augmentation_0
183,RSMNormDifference,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.9108391608391607,NLP,BERT-L,mnli,Augmentation_0
184,RSMNormDifference,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.06293706293706294,NLP,BERT-L,mnli,Augmentation_0
185,RSMNormDifference,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.8459949141767322,NLP,BERT-L,mnli,Augmentation_0
186,RSMNormDifference,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.057692307692307696,NLP,BERT-L,mnli,Augmentation_0
187,RSMNormDifference,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,0.830356007628735,NLP,BERT-L,mnli,Augmentation_0
