,Function,N_instances,N_features,Time,N_Jobs,Device
2,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7fee90e3acb0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",40000,1000,1740.5646652281284,16,CPU
3,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7fee90e3a9e0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",40000,1000,34.95884444192052,16,CPU
0,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7fee90e3acb0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",30000,1000,1048.4385941661894,32,CPU
1,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7fee90e3a9e0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",30000,1000,44.17457606084645,32,CPU
2,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7fee90e3acb0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",40000,1000,1768.6050066072494,32,CPU
3,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7fee90e3a9e0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",40000,1000,61.78379364311695,32,CPU
0,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7fee90e3acb0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",30000,1000,984.8140160683542,64,CPU
1,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7fee90e3a9e0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",30000,1000,88.96772140823305,64,CPU
2,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7fee90e3acb0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",40000,1000,2178.003886181861,64,CPU
3,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7fee90e3a9e0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",40000,1000,106.66855378448963,64,CPU
0,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7fee90e3acb0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",30000,1000,1026.9378885235637,128,CPU
1,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7fee90e3a9e0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",30000,1000,202.32862037979066,128,CPU
2,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7fee90e3acb0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",40000,1000,1907.9225004464388,128,CPU
3,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7fee90e3a9e0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",40000,1000,204.8905537351966,128,CPU
