,Function,N_instances,N_features,Time,Device
37,jaccard_similarity,100,325,0.035795316100120544,CPU
38,second_order_cosine_similarity,100,325,0.034752849489450455,CPU
39,rank_similarity,100,325,0.04501187615096569,CPU
40,geometry_score,100,325,14.16804552078247,CPU
41,imd_score,100,325,6.789663212373853,CPU
42,gulp,100,325,,CPU
43,svcca,100,325,0.012718696147203445,CPU
44,magnitude_difference,100,550,8.897855877876282e-05,CPU
45,concentricity_difference,100,550,0.0002741478383541107,CPU
46,uniformity_difference,100,550,0.0019938629120588303,CPU
47,rsm_norm_diff,100,550,0.0017604641616344452,CPU
48,eigenspace_overlap_score,100,550,0.08839237131178379,CPU
49,aligned_cossim,100,550,0.09405632503330708,CPU
50,procrustes_size_and_shape_distance,100,550,0.09663158841431141,CPU
51,orthogonal_procrustes_centered_and_normalized,100,550,0.10651352815330029,CPU
52,permutation_procrustes,100,550,0.06544744968414307,CPU
53,representational_similarity_analysis,100,550,0.005332758650183678,CPU
54,centered_kernel_alignment,100,550,0.061930231750011444,CPU
55,hard_correlation_match,100,550,0.025214441120624542,CPU
56,soft_correlation_match,100,550,0.012213600799441338,CPU
57,distance_correlation,100,550,0.002297447994351387,CPU
58,orthogonal_angular_shape_metric_centered,100,550,0.10429446026682854,CPU
59,jaccard_similarity,100,550,0.03129426762461662,CPU
60,second_order_cosine_similarity,100,550,0.03432764671742916,CPU
61,rank_similarity,100,550,0.03206726163625717,CPU
62,geometry_score,100,550,15.108320975676179,CPU
63,imd_score,100,550,7.1049442533403635,CPU
64,gulp,100,550,,CPU
65,svcca,100,550,0.014919932931661606,CPU
66,magnitude_difference,100,775,0.00010002776980400085,CPU
67,concentricity_difference,100,775,0.00036776624619960785,CPU
68,uniformity_difference,100,775,0.0027358345687389374,CPU
69,rsm_norm_diff,100,775,0.0024760961532592773,CPU
70,eigenspace_overlap_score,100,775,0.13659920543432236,CPU
71,aligned_cossim,100,775,0.1813228353857994,CPU
72,procrustes_size_and_shape_distance,100,775,0.1994965523481369,CPU
73,orthogonal_procrustes_centered_and_normalized,100,775,0.1923428550362587,CPU
74,permutation_procrustes,100,775,0.16819097474217415,CPU
75,representational_similarity_analysis,100,775,0.005562989041209221,CPU
76,centered_kernel_alignment,100,775,0.004264209419488907,CPU
77,hard_correlation_match,100,775,0.0602614339441061,CPU
78,soft_correlation_match,100,775,0.024611715227365494,CPU
79,distance_correlation,100,775,0.0030509941279888153,CPU
80,orthogonal_angular_shape_metric_centered,100,775,0.1966678649187088,CPU
81,jaccard_similarity,100,775,0.033911991864442825,CPU
82,second_order_cosine_similarity,100,775,0.0351853109896183,CPU
83,rank_similarity,100,775,0.03249669633805752,CPU
84,geometry_score,100,775,15.89834644831717,CPU
85,imd_score,100,775,6.932063626125455,CPU
86,gulp,100,775,,CPU
87,svcca,100,775,0.019726131111383438,CPU
88,magnitude_difference,100,1000,0.000140288844704628,CPU
89,concentricity_difference,100,1000,0.00042545609176158905,CPU
90,uniformity_difference,100,1000,0.005141673609614372,CPU
91,rsm_norm_diff,100,1000,0.004816366359591484,CPU
92,eigenspace_overlap_score,100,1000,0.1939005609601736,CPU
93,aligned_cossim,100,1000,0.26325587928295135,CPU
94,procrustes_size_and_shape_distance,100,1000,0.2620121203362942,CPU
95,orthogonal_procrustes_centered_and_normalized,100,1000,0.25851170532405376,CPU
96,permutation_procrustes,100,1000,0.24683550000190735,CPU
97,representational_similarity_analysis,100,1000,0.00661838985979557,CPU
98,centered_kernel_alignment,100,1000,0.004489380866289139,CPU
99,hard_correlation_match,100,1000,0.0845721997320652,CPU
100,soft_correlation_match,100,1000,0.03981667757034302,CPU
101,distance_correlation,100,1000,0.003785662353038788,CPU
102,orthogonal_angular_shape_metric_centered,100,1000,0.37009525671601295,CPU
103,jaccard_similarity,100,1000,0.03449546732008457,CPU
104,second_order_cosine_similarity,100,1000,0.03687397763133049,CPU
105,rank_similarity,100,1000,0.032685643061995506,CPU
106,geometry_score,100,1000,16.869794799014926,CPU
107,imd_score,100,1000,7.122892323881388,CPU
108,gulp,100,1000,,CPU
109,svcca,100,1000,0.016833366826176643,CPU
110,magnitude_difference,325,100,9.056925773620605e-05,CPU
111,concentricity_difference,325,100,0.00022392719984054565,CPU
112,uniformity_difference,325,100,0.00572296604514122,CPU
113,rsm_norm_diff,325,100,0.0035491343587636948,CPU
114,eigenspace_overlap_score,325,100,0.021202245727181435,CPU
115,aligned_cossim,325,100,0.007063243538141251,CPU
116,procrustes_size_and_shape_distance,325,100,0.003802243620157242,CPU
117,orthogonal_procrustes_centered_and_normalized,325,100,0.004104474559426308,CPU
118,permutation_procrustes,325,100,0.0017435532063245773,CPU
119,representational_similarity_analysis,325,100,0.019773095846176147,CPU
120,centered_kernel_alignment,325,100,0.01858125999569893,CPU
121,hard_correlation_match,325,100,0.0031566694378852844,CPU
122,soft_correlation_match,325,100,0.002107631415128708,CPU
123,distance_correlation,325,100,0.005508333444595337,CPU
124,orthogonal_angular_shape_metric_centered,325,100,0.004696747288107872,CPU
125,jaccard_similarity,325,100,0.04798275977373123,CPU
126,second_order_cosine_similarity,325,100,0.043297724798321724,CPU
127,rank_similarity,325,100,0.03851196728646755,CPU
128,geometry_score,325,100,43.56871226429939,CPU
129,imd_score,325,100,12.452225232496858,CPU
130,gulp,325,100,0.008712338283658028,CPU
131,svcca,325,100,0.0226170402020216,CPU
132,magnitude_difference,325,325,0.00012211874127388,CPU
133,concentricity_difference,325,325,0.00044459663331508636,CPU
134,uniformity_difference,325,325,0.012987567111849785,CPU
135,rsm_norm_diff,325,325,0.011628562584519386,CPU
136,eigenspace_overlap_score,325,325,0.1236786674708128,CPU
137,aligned_cossim,325,325,0.05294991284608841,CPU
138,procrustes_size_and_shape_distance,325,325,0.04710432514548302,CPU
139,orthogonal_procrustes_centered_and_normalized,325,325,0.047659989446401596,CPU
140,permutation_procrustes,325,325,0.019387902691960335,CPU
141,representational_similarity_analysis,325,325,0.033097172155976295,CPU
142,centered_kernel_alignment,325,325,0.010671831667423248,CPU
143,hard_correlation_match,325,325,0.024341993033885956,CPU
144,soft_correlation_match,325,325,0.018043383955955505,CPU
145,distance_correlation,325,325,0.014473585411906242,CPU
146,orthogonal_angular_shape_metric_centered,325,325,0.05091498978435993,CPU
147,jaccard_similarity,325,325,0.05071818083524704,CPU
148,second_order_cosine_similarity,325,325,0.062440142035484314,CPU
149,rank_similarity,325,325,0.03712373599410057,CPU
150,geometry_score,325,325,47.00107467919588,CPU
151,imd_score,325,325,12.396732272580266,CPU
152,gulp,325,325,0.05492466874420643,CPU
153,svcca,325,325,0.08755579218268394,CPU
154,magnitude_difference,325,550,0.00017106905579566956,CPU
155,concentricity_difference,325,550,0.0006210450083017349,CPU
156,uniformity_difference,325,550,0.02136053889989853,CPU
157,rsm_norm_diff,325,550,0.018799513578414917,CPU
158,eigenspace_overlap_score,325,550,0.20465180836617947,CPU
159,aligned_cossim,325,550,0.13599990867078304,CPU
160,procrustes_size_and_shape_distance,325,550,0.1352062039077282,CPU
161,orthogonal_procrustes_centered_and_normalized,325,550,0.11813386343419552,CPU
162,permutation_procrustes,325,550,0.09642951935529709,CPU
163,representational_similarity_analysis,325,550,0.0465508047491312,CPU
164,centered_kernel_alignment,325,550,0.008528826758265495,CPU
165,hard_correlation_match,325,550,0.06278680264949799,CPU
166,soft_correlation_match,325,550,0.04527330584824085,CPU
167,distance_correlation,325,550,0.01928836666047573,CPU
168,orthogonal_angular_shape_metric_centered,325,550,0.11029002070426941,CPU
169,jaccard_similarity,325,550,0.05912192724645138,CPU
170,second_order_cosine_similarity,325,550,0.08864350244402885,CPU
171,rank_similarity,325,550,0.04502568021416664,CPU
172,geometry_score,325,550,50.33600743673742,CPU
173,imd_score,325,550,12.390546072274446,CPU
174,gulp,325,550,,CPU
175,svcca,325,550,0.10681959427893162,CPU
176,magnitude_difference,325,775,0.00020367838442325592,CPU
177,concentricity_difference,325,775,0.000697694718837738,CPU
178,uniformity_difference,325,775,0.028708020225167274,CPU
179,rsm_norm_diff,325,775,0.02707226574420929,CPU
180,eigenspace_overlap_score,325,775,0.31839509680867195,CPU
181,aligned_cossim,325,775,0.17954842746257782,CPU
182,procrustes_size_and_shape_distance,325,775,0.19042696431279182,CPU
183,orthogonal_procrustes_centered_and_normalized,325,775,0.18891216814517975,CPU
184,permutation_procrustes,325,775,0.15196774527430534,CPU
185,representational_similarity_analysis,325,775,0.05293974280357361,CPU
186,centered_kernel_alignment,325,775,0.008715488016605377,CPU
187,hard_correlation_match,325,775,0.1219872310757637,CPU
188,soft_correlation_match,325,775,0.0871475376188755,CPU
189,distance_correlation,325,775,0.029408514499664307,CPU
190,orthogonal_angular_shape_metric_centered,325,775,0.21125048398971558,CPU
191,jaccard_similarity,325,775,0.05844991095364094,CPU
192,second_order_cosine_similarity,325,775,0.10052410326898098,CPU
193,rank_similarity,325,775,0.05686205439269543,CPU
194,geometry_score,325,775,53.802150540053844,CPU
195,imd_score,325,775,12.416897810995579,CPU
196,gulp,325,775,,CPU
197,svcca,325,775,0.1318732649087906,CPU
198,magnitude_difference,325,1000,0.0002788584679365158,CPU
199,concentricity_difference,325,1000,0.001020241528749466,CPU
200,uniformity_difference,325,1000,0.03996204026043415,CPU
201,rsm_norm_diff,325,1000,0.039536312222480774,CPU
202,eigenspace_overlap_score,325,1000,0.35038938745856285,CPU
203,aligned_cossim,325,1000,0.3164001889526844,CPU
204,procrustes_size_and_shape_distance,325,1000,0.32925429567694664,CPU
205,orthogonal_procrustes_centered_and_normalized,325,1000,0.3297868240624666,CPU
206,permutation_procrustes,325,1000,0.2609734367579222,CPU
207,representational_similarity_analysis,325,1000,0.06932404264807701,CPU
208,centered_kernel_alignment,325,1000,0.011289633810520172,CPU
209,hard_correlation_match,325,1000,0.1889470722526312,CPU
210,soft_correlation_match,325,1000,0.14089221879839897,CPU
211,distance_correlation,325,1000,0.03435102477669716,CPU
212,orthogonal_angular_shape_metric_centered,325,1000,0.37939162366092205,CPU
213,jaccard_similarity,325,1000,0.061440564692020416,CPU
214,second_order_cosine_similarity,325,1000,0.11914153583347797,CPU
215,rank_similarity,325,1000,0.057746484875679016,CPU
216,geometry_score,325,1000,56.681725619360805,CPU
217,imd_score,325,1000,12.686931813135743,CPU
218,gulp,325,1000,,CPU
219,svcca,325,1000,0.12653618678450584,CPU
220,magnitude_difference,550,100,0.0001301504671573639,CPU
221,concentricity_difference,550,100,0.00030226632952690125,CPU
222,uniformity_difference,550,100,0.01702708937227726,CPU
223,rsm_norm_diff,550,100,0.011781357228755951,CPU
224,eigenspace_overlap_score,550,100,0.02236032485961914,CPU
225,aligned_cossim,550,100,0.011937946081161499,CPU
226,procrustes_size_and_shape_distance,550,100,0.005080040544271469,CPU
227,orthogonal_procrustes_centered_and_normalized,550,100,0.005507888272404671,CPU
228,permutation_procrustes,550,100,0.002823304384946823,CPU
229,representational_similarity_analysis,550,100,0.07128509692847729,CPU
230,centered_kernel_alignment,550,100,0.0070623233914375305,CPU
231,hard_correlation_match,550,100,0.004608476534485817,CPU
232,soft_correlation_match,550,100,0.003606494516134262,CPU
233,distance_correlation,550,100,0.016108274459838867,CPU
234,orthogonal_angular_shape_metric_centered,550,100,0.006077902391552925,CPU
235,jaccard_similarity,550,100,0.07138373330235481,CPU
236,second_order_cosine_similarity,550,100,0.09167213179171085,CPU
237,rank_similarity,550,100,0.04828844591975212,CPU
238,geometry_score,550,100,76.06723700277507,CPU
239,imd_score,550,100,20.5082247518003,CPU
240,gulp,550,100,0.00810440443456173,CPU
241,svcca,550,100,0.02552730403840542,CPU
242,magnitude_difference,550,325,0.00018452852964401245,CPU
243,concentricity_difference,550,325,0.000597294420003891,CPU
244,uniformity_difference,550,325,0.040709786117076874,CPU
245,rsm_norm_diff,550,325,0.03655180707573891,CPU
246,eigenspace_overlap_score,550,325,0.15140578523278236,CPU
247,aligned_cossim,550,325,0.06547162868082523,CPU
248,procrustes_size_and_shape_distance,550,325,0.06129402853548527,CPU
249,orthogonal_procrustes_centered_and_normalized,550,325,0.06406611949205399,CPU
250,permutation_procrustes,550,325,0.029528094455599785,CPU
251,representational_similarity_analysis,550,325,0.10884556733071804,CPU
252,centered_kernel_alignment,550,325,0.006061691790819168,CPU
253,hard_correlation_match,550,325,0.03569231554865837,CPU
254,soft_correlation_match,550,325,0.027568072080612183,CPU
255,distance_correlation,550,325,0.034196069464087486,CPU
256,orthogonal_angular_shape_metric_centered,550,325,0.05872555077075958,CPU
257,jaccard_similarity,550,325,0.08345144428312778,CPU
258,second_order_cosine_similarity,550,325,0.11908132769167423,CPU
259,rank_similarity,550,325,0.06521681696176529,CPU
260,geometry_score,550,325,83.53457500040531,CPU
261,imd_score,550,325,20.525999397039413,CPU
262,gulp,550,325,0.05350002832710743,CPU
263,svcca,550,325,0.11959300562739372,CPU
264,magnitude_difference,550,550,0.0003020577132701874,CPU
265,concentricity_difference,550,550,0.0011244378983974457,CPU
266,uniformity_difference,550,550,0.07103179953992367,CPU
267,rsm_norm_diff,550,550,0.06120257265865803,CPU
268,eigenspace_overlap_score,550,550,0.29223267547786236,CPU
269,aligned_cossim,550,550,0.13037734664976597,CPU
270,procrustes_size_and_shape_distance,550,550,0.14241341315209866,CPU
271,orthogonal_procrustes_centered_and_normalized,550,550,0.14582937955856323,CPU
272,permutation_procrustes,550,550,0.09387708269059658,CPU
273,representational_similarity_analysis,550,550,0.14504328928887844,CPU
274,centered_kernel_alignment,550,550,0.029014697298407555,CPU
275,hard_correlation_match,550,550,0.0902598612010479,CPU
276,soft_correlation_match,550,550,0.07703867740929127,CPU
277,distance_correlation,550,550,0.054627180099487305,CPU
278,orthogonal_angular_shape_metric_centered,550,550,0.14562036283314228,CPU
279,jaccard_similarity,550,550,0.08556385524570942,CPU
280,second_order_cosine_similarity,550,550,0.14922530762851238,CPU
281,rank_similarity,550,550,0.06870908848941326,CPU
282,geometry_score,550,550,88.9254819303751,CPU
283,imd_score,550,550,20.593327907845378,CPU
284,gulp,550,550,0.1195648480206728,CPU
285,svcca,550,550,0.18779181875288486,CPU
286,magnitude_difference,550,775,0.00034386664628982544,CPU
287,concentricity_difference,550,775,0.0013566035777330399,CPU
288,uniformity_difference,550,775,0.09695376642048359,CPU
289,rsm_norm_diff,550,775,0.0815200824290514,CPU
290,eigenspace_overlap_score,550,775,0.3707474134862423,CPU
291,aligned_cossim,550,775,0.23311988450586796,CPU
292,procrustes_size_and_shape_distance,550,775,0.2363151926547289,CPU
293,orthogonal_procrustes_centered_and_normalized,550,775,0.2436565589159727,CPU
294,permutation_procrustes,550,775,0.1511595081537962,CPU
295,representational_similarity_analysis,550,775,0.1713557094335556,CPU
296,centered_kernel_alignment,550,775,0.016603177413344383,CPU
297,hard_correlation_match,550,775,0.18776382878422737,CPU
298,soft_correlation_match,550,775,0.15253796428442,CPU
299,distance_correlation,550,775,0.0766929779201746,CPU
300,orthogonal_angular_shape_metric_centered,550,775,0.2438247725367546,CPU
301,jaccard_similarity,550,775,0.10535499826073647,CPU
302,second_order_cosine_similarity,550,775,0.22379152663052082,CPU
303,rank_similarity,550,775,0.06850180774927139,CPU
304,geometry_score,550,775,95.9190076328814,CPU
305,imd_score,550,775,19.526515929028392,CPU
306,gulp,550,775,,CPU
307,svcca,550,775,0.28061963245272636,CPU
308,magnitude_difference,550,1000,0.0005002841353416443,CPU
309,concentricity_difference,550,1000,0.0017421431839466095,CPU
310,uniformity_difference,550,1000,0.15065659396350384,CPU
311,rsm_norm_diff,550,1000,0.09207071177661419,CPU
312,eigenspace_overlap_score,550,1000,0.5750284902751446,CPU
313,aligned_cossim,550,1000,0.43895745277404785,CPU
314,procrustes_size_and_shape_distance,550,1000,0.3710659332573414,CPU
315,orthogonal_procrustes_centered_and_normalized,550,1000,0.3504831548780203,CPU
316,permutation_procrustes,550,1000,0.29913377203047276,CPU
317,representational_similarity_analysis,550,1000,0.19933182559907436,CPU
318,centered_kernel_alignment,550,1000,0.015769772231578827,CPU
319,hard_correlation_match,550,1000,0.2961221318691969,CPU
320,soft_correlation_match,550,1000,0.24858304858207703,CPU
321,distance_correlation,550,1000,0.09901618398725986,CPU
322,orthogonal_angular_shape_metric_centered,550,1000,0.40611511655151844,CPU
323,jaccard_similarity,550,1000,0.10449206084012985,CPU
324,second_order_cosine_similarity,550,1000,0.47911642864346504,CPU
325,rank_similarity,550,1000,0.09300686419010162,CPU
326,geometry_score,550,1000,101.96108619682491,CPU
327,imd_score,550,1000,19.57643544487655,CPU
328,gulp,550,1000,,CPU
329,svcca,550,1000,0.26606507413089275,CPU
330,magnitude_difference,775,100,0.00015638023614883423,CPU
331,concentricity_difference,775,100,0.00036093592643737793,CPU
332,uniformity_difference,775,100,0.036348311230540276,CPU
333,rsm_norm_diff,775,100,0.024536488577723503,CPU
334,eigenspace_overlap_score,775,100,0.02949644811451435,CPU
335,aligned_cossim,775,100,0.012726962566375732,CPU
336,procrustes_size_and_shape_distance,775,100,0.005139907822012901,CPU
337,orthogonal_procrustes_centered_and_normalized,775,100,0.004712672904133797,CPU
338,permutation_procrustes,775,100,0.0023530758917331696,CPU
339,representational_similarity_analysis,775,100,0.13686318509280682,CPU
340,centered_kernel_alignment,775,100,0.0032145176082849503,CPU
341,hard_correlation_match,775,100,0.00556451641023159,CPU
342,soft_correlation_match,775,100,0.004138898104429245,CPU
343,distance_correlation,775,100,0.028213312849402428,CPU
344,orthogonal_angular_shape_metric_centered,775,100,0.006120450794696808,CPU
345,jaccard_similarity,775,100,0.09628962725400925,CPU
346,second_order_cosine_similarity,775,100,0.10413730703294277,CPU
347,rank_similarity,775,100,0.08085056766867638,CPU
348,geometry_score,775,100,109.95703780837357,CPU
349,imd_score,775,100,27.13655543141067,CPU
350,gulp,775,100,0.007391175255179405,CPU
351,svcca,775,100,0.027872992679476738,CPU
352,magnitude_difference,775,325,0.00022044964134693146,CPU
353,concentricity_difference,775,325,0.0008180607110261917,CPU
354,uniformity_difference,775,325,0.08694532513618469,CPU
355,rsm_norm_diff,775,325,0.06956500746309757,CPU
356,eigenspace_overlap_score,775,325,0.173579853028059,CPU
357,aligned_cossim,775,325,0.05815073102712631,CPU
358,procrustes_size_and_shape_distance,775,325,0.04909597150981426,CPU
359,orthogonal_procrustes_centered_and_normalized,775,325,0.04994794353842735,CPU
360,permutation_procrustes,775,325,0.0219106525182724,CPU
361,representational_similarity_analysis,775,325,0.19661380350589752,CPU
362,centered_kernel_alignment,775,325,0.00646427646279335,CPU
363,hard_correlation_match,775,325,0.04414081946015358,CPU
364,soft_correlation_match,775,325,0.03981982357800007,CPU
365,distance_correlation,775,325,0.07315221428871155,CPU
366,orthogonal_angular_shape_metric_centered,775,325,0.05975741520524025,CPU
367,jaccard_similarity,775,325,0.11340116336941719,CPU
368,second_order_cosine_similarity,775,325,0.19510063342750072,CPU
369,rank_similarity,775,325,0.0803231056779623,CPU
370,geometry_score,775,325,121.37675766088068,CPU
371,imd_score,775,325,28.17853507399559,CPU
372,gulp,775,325,0.054234517738223076,CPU
373,svcca,775,325,0.15965236723423004,CPU
374,magnitude_difference,775,550,0.0003728363662958145,CPU
375,concentricity_difference,775,550,0.0014836117625236511,CPU
376,uniformity_difference,775,550,0.14392768405377865,CPU
377,rsm_norm_diff,775,550,0.1020903717726469,CPU
378,eigenspace_overlap_score,775,550,0.361153531819582,CPU
379,aligned_cossim,775,550,0.17410492151975632,CPU
380,procrustes_size_and_shape_distance,775,550,0.15999706648290157,CPU
381,orthogonal_procrustes_centered_and_normalized,775,550,0.1614567805081606,CPU
382,permutation_procrustes,775,550,0.10068349912762642,CPU
383,representational_similarity_analysis,775,550,0.26563610695302486,CPU
384,centered_kernel_alignment,775,550,0.010948840528726578,CPU
385,hard_correlation_match,775,550,0.1263135764747858,CPU
386,soft_correlation_match,775,550,0.11161263845860958,CPU
387,distance_correlation,775,550,0.11306818947196007,CPU
388,orthogonal_angular_shape_metric_centered,775,550,0.15792404673993587,CPU
389,jaccard_similarity,775,550,0.11381607130169868,CPU
390,second_order_cosine_similarity,775,550,0.2557584475725889,CPU
391,rank_similarity,775,550,0.09982855245471,CPU
392,geometry_score,775,550,132.7419363092631,CPU
393,imd_score,775,550,42.461488572880626,CPU
394,gulp,775,550,0.17379050515592098,CPU
395,svcca,775,550,0.3115754295140505,CPU
396,magnitude_difference,775,775,0.0008036438375711441,CPU
397,concentricity_difference,775,775,0.00219784677028656,CPU
398,uniformity_difference,775,775,0.2080127988010645,CPU
399,rsm_norm_diff,775,775,0.17008058167994022,CPU
400,eigenspace_overlap_score,775,775,0.9792708866298199,CPU
401,aligned_cossim,775,775,0.36506978422403336,CPU
402,procrustes_size_and_shape_distance,775,775,0.3135123923420906,CPU
403,orthogonal_procrustes_centered_and_normalized,775,775,0.312070632353425,CPU
404,permutation_procrustes,775,775,0.21670184843242168,CPU
405,representational_similarity_analysis,775,775,0.3730478771030903,CPU
406,centered_kernel_alignment,775,775,0.018556587398052216,CPU
407,hard_correlation_match,775,775,0.2813185229897499,CPU
408,soft_correlation_match,775,775,0.2487731147557497,CPU
409,distance_correlation,775,775,0.179495794698596,CPU
410,orthogonal_angular_shape_metric_centered,775,775,0.3241149988025427,CPU
411,jaccard_similarity,775,775,0.1917569823563099,CPU
412,second_order_cosine_similarity,775,775,0.41499772667884827,CPU
413,rank_similarity,775,775,0.13147161900997162,CPU
414,geometry_score,775,775,182.77023118920624,CPU
415,imd_score,775,775,60.27794417180121,CPU
416,gulp,775,775,0.5199698228389025,CPU
417,svcca,775,775,0.8787386193871498,CPU
418,magnitude_difference,775,1000,0.0023718029260635376,CPU
419,concentricity_difference,775,1000,0.005175802856683731,CPU
420,uniformity_difference,775,1000,0.31487383879721165,CPU
421,rsm_norm_diff,775,1000,0.2513866275548935,CPU
422,eigenspace_overlap_score,775,1000,1.5173528268933296,CPU
423,aligned_cossim,775,1000,0.6958548184484243,CPU
424,procrustes_size_and_shape_distance,775,1000,0.5692070331424475,CPU
425,orthogonal_procrustes_centered_and_normalized,775,1000,0.6217442397028208,CPU
426,permutation_procrustes,775,1000,0.4376855958253145,CPU
427,representational_similarity_analysis,775,1000,0.49685008078813553,CPU
428,centered_kernel_alignment,775,1000,0.046078262850642204,CPU
429,hard_correlation_match,775,1000,0.5285871624946594,CPU
430,soft_correlation_match,775,1000,0.47170758061110973,CPU
431,distance_correlation,775,1000,0.24620372988283634,CPU
432,orthogonal_angular_shape_metric_centered,775,1000,0.8446543216705322,CPU
433,jaccard_similarity,775,1000,0.25387201830744743,CPU
434,second_order_cosine_similarity,775,1000,0.6011320985853672,CPU
435,rank_similarity,775,1000,0.20748966932296753,CPU
436,geometry_score,775,1000,204.10983834974468,CPU
437,imd_score,775,1000,59.3465325627476,CPU
438,gulp,775,1000,,CPU
439,svcca,775,1000,0.9465160481631756,CPU
440,magnitude_difference,1000,100,0.0009603928774595261,CPU
441,concentricity_difference,1000,100,0.0011666808277368546,CPU
442,uniformity_difference,1000,100,0.13139699213206768,CPU
443,rsm_norm_diff,1000,100,0.04911785572767258,CPU
444,eigenspace_overlap_score,1000,100,0.0644359365105629,CPU
445,aligned_cossim,1000,100,0.03567153215408325,CPU
446,procrustes_size_and_shape_distance,1000,100,0.00836898759007454,CPU
447,orthogonal_procrustes_centered_and_normalized,1000,100,0.011546101421117783,CPU
448,permutation_procrustes,1000,100,0.004876388236880302,CPU
449,representational_similarity_analysis,1000,100,0.38656286522746086,CPU
450,centered_kernel_alignment,1000,100,0.005179984495043755,CPU
451,hard_correlation_match,1000,100,0.011246955022215843,CPU
452,soft_correlation_match,1000,100,0.008012454956769943,CPU
453,distance_correlation,1000,100,0.09051754511892796,CPU
454,orthogonal_angular_shape_metric_centered,1000,100,0.025315266102552414,CPU
455,jaccard_similarity,1000,100,0.17741487361490726,CPU
456,second_order_cosine_similarity,1000,100,0.22635730169713497,CPU
457,rank_similarity,1000,100,0.12334384955465794,CPU
458,geometry_score,1000,100,191.5500667002052,CPU
459,imd_score,1000,100,68.72011542133987,CPU
460,gulp,1000,100,0.01742747612297535,CPU
461,svcca,1000,100,0.07139000855386257,CPU
462,magnitude_difference,1000,325,0.0009033717215061188,CPU
463,concentricity_difference,1000,325,0.001952020451426506,CPU
464,uniformity_difference,1000,325,0.2167007438838482,CPU
465,rsm_norm_diff,1000,325,0.14668140187859535,CPU
466,eigenspace_overlap_score,1000,325,0.3827208075672388,CPU
467,aligned_cossim,1000,325,0.13660657219588757,CPU
468,procrustes_size_and_shape_distance,1000,325,0.10159700363874435,CPU
469,orthogonal_procrustes_centered_and_normalized,1000,325,0.09572715498507023,CPU
470,permutation_procrustes,1000,325,0.041974080726504326,CPU
471,representational_similarity_analysis,1000,325,0.4599152021110058,CPU
472,centered_kernel_alignment,1000,325,0.010422760620713234,CPU
473,hard_correlation_match,1000,325,0.087975412607193,CPU
474,soft_correlation_match,1000,325,0.07360436022281647,CPU
475,distance_correlation,1000,325,0.1856378298252821,CPU
476,orthogonal_angular_shape_metric_centered,1000,325,0.13663344271481037,CPU
477,jaccard_similarity,1000,325,0.1611473672091961,CPU
478,second_order_cosine_similarity,1000,325,0.3456690441817045,CPU
479,rank_similarity,1000,325,0.1448224801570177,CPU
480,geometry_score,1000,325,211.11016130447388,CPU
481,imd_score,1000,325,207.49316414818168,CPU
482,gulp,1000,325,0.060296034440398216,CPU
483,svcca,1000,325,0.22702756337821484,CPU
484,magnitude_difference,1000,550,0.00048075616359710693,CPU
485,concentricity_difference,1000,550,0.0017416924238204956,CPU
