,Function,N_instances,N_features,Time,N_Jobs,Device
0,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",4000,1000,0.8923219684511423,8,CPU
1,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",4000,1000,0.4115018267184496,8,CPU
2,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",8000,1000,8.752123517915606,8,CPU
3,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",8000,1000,0.6611226834356785,8,CPU
4,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",12000,1000,70.0121644642204,8,CPU
5,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",12000,1000,1.5775054264813662,8,CPU
6,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",16000,1000,205.8447255436331,8,CPU
7,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",16000,1000,4.457258351147175,8,CPU
8,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",20000,1000,362.191258540377,8,CPU
9,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",20000,1000,10.810134364292026,8,CPU
0,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",4000,1000,1.5357027668505907,16,CPU
1,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",4000,1000,0.2790654134005308,16,CPU
2,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",8000,1000,10.641417710110545,16,CPU
3,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",8000,1000,1.0986544378101826,16,CPU
4,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",12000,1000,78.64144884236157,16,CPU
5,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",12000,1000,10.056900646537542,16,CPU
6,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",16000,1000,199.26650360785425,16,CPU
7,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",16000,1000,16.317460080608726,16,CPU
8,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",20000,1000,347.4037790969014,16,CPU
9,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",20000,1000,19.882546102628112,16,CPU
0,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",4000,1000,1.398156974464655,32,CPU
1,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",4000,1000,0.32042508013546467,32,CPU
2,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",8000,1000,12.538007363677025,32,CPU
3,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",8000,1000,10.961697075515985,32,CPU
4,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",12000,1000,77.30476390011609,32,CPU
5,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",12000,1000,18.594587014988065,32,CPU
6,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",16000,1000,197.5893820039928,32,CPU
7,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",16000,1000,24.9782425314188,32,CPU
8,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",20000,1000,544.3115437049419,32,CPU
9,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",20000,1000,64.28642604127526,32,CPU
0,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",4000,1000,1.4551942367106676,64,CPU
1,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",4000,1000,2.5702846460044384,64,CPU
2,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",8000,1000,16.227582328021526,64,CPU
3,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",8000,1000,31.440976161509752,64,CPU
4,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",12000,1000,80.35020742937922,64,CPU
5,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",12000,1000,39.84543303400278,64,CPU
6,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",16000,1000,325.03079343028367,64,CPU
7,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",16000,1000,60.055116821080446,64,CPU
8,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",20000,1000,512.4689552914351,64,CPU
9,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",20000,1000,61.19835576042533,64,CPU
0,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",4000,1000,2.638558514416218,128,CPU
1,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",4000,1000,16.5371888037771,128,CPU
2,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",8000,1000,23.73452834226191,128,CPU
3,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",8000,1000,75.55021193623543,128,CPU
4,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",12000,1000,98.49743097275496,128,CPU
5,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",12000,1000,130.56425175629556,128,CPU
6,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",16000,1000,291.98782476224005,128,CPU
7,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",16000,1000,99.67603403702378,128,CPU
8,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",20000,1000,455.8352421168238,128,CPU
9,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",20000,1000,121.020363971591,128,CPU
