,model,dataset,sc_rate,acc
95,sst2_pre2_ft2_scrate025,sst2,0.0,0.9529816513761468
96,sst2_pre2_ft2_scrate025,sst2,0.25,0.9438073394495413
97,sst2_pre2_ft2_scrate025,sst2,0.5,0.9220183486238532
98,sst2_pre2_ft2_scrate025,sst2,0.75,0.8979357798165137
99,sst2_pre2_ft2_scrate025,sst2,1.0,0.8727064220183486
100,sst2_pre8_ft8_scrate05,sst2,0.0,0.9254587155963303
101,sst2_pre8_ft8_scrate05,sst2,0.25,0.9254587155963303
102,sst2_pre8_ft8_scrate05,sst2,0.5,0.9254587155963303
103,sst2_pre8_ft8_scrate05,sst2,0.75,0.9254587155963303
104,sst2_pre8_ft8_scrate05,sst2,1.0,0.9254587155963303
105,sst2_pre1_ft1_scrate025,sst2,0.0,0.9495412844036697
106,sst2_pre1_ft1_scrate025,sst2,0.25,0.9254587155963303
107,sst2_pre1_ft1_scrate025,sst2,0.5,0.8979357798165137
108,sst2_pre1_ft1_scrate025,sst2,0.75,0.875
109,sst2_pre1_ft1_scrate025,sst2,1.0,0.8474770642201835
110,sst2_pre7_ft7_scrate025,sst2,0.0,0.9506880733944955
111,sst2_pre7_ft7_scrate025,sst2,0.25,0.930045871559633
112,sst2_pre7_ft7_scrate025,sst2,0.5,0.908256880733945
113,sst2_pre7_ft7_scrate025,sst2,0.75,0.8853211009174312
114,sst2_pre7_ft7_scrate025,sst2,1.0,0.8623853211009175
115,sst2_pre4_ft4_scrate10,sst2,0.0,0.0
116,sst2_pre4_ft4_scrate10,sst2,0.25,0.23738532110091742
117,sst2_pre4_ft4_scrate10,sst2,0.5,0.4805045871559633
118,sst2_pre4_ft4_scrate10,sst2,0.75,0.7293577981651376
119,sst2_pre4_ft4_scrate10,sst2,1.0,1.0
120,sst2_pre3_ft3_scrate075,sst2,0.0,0.8543577981651376
121,sst2_pre3_ft3_scrate075,sst2,0.25,0.8784403669724771
122,sst2_pre3_ft3_scrate075,sst2,0.5,0.9094036697247706
123,sst2_pre3_ft3_scrate075,sst2,0.75,0.9369266055045872
124,sst2_pre3_ft3_scrate075,sst2,1.0,0.9655963302752294
125,sst2_pre9_ft9_scrate05,sst2,0.0,0.911697247706422
126,sst2_pre9_ft9_scrate05,sst2,0.25,0.911697247706422
127,sst2_pre9_ft9_scrate05,sst2,0.5,0.911697247706422
128,sst2_pre9_ft9_scrate05,sst2,0.75,0.911697247706422
129,sst2_pre9_ft9_scrate05,sst2,1.0,0.911697247706422
130,sst2_pre9_ft9_scrate0,sst2,0.0,0.9094036697247706
131,sst2_pre9_ft9_scrate0,sst2,0.25,0.9139908256880734
132,sst2_pre9_ft9_scrate0,sst2,0.5,0.911697247706422
133,sst2_pre9_ft9_scrate0,sst2,0.75,0.9174311926605505
134,sst2_pre9_ft9_scrate0,sst2,1.0,0.9174311926605505
135,sst2_pre0_ft0_scrate10,sst2,0.0,0.0
136,sst2_pre0_ft0_scrate10,sst2,0.25,0.23738532110091742
137,sst2_pre0_ft0_scrate10,sst2,0.5,0.4805045871559633
138,sst2_pre0_ft0_scrate10,sst2,0.75,0.7293577981651376
139,sst2_pre0_ft0_scrate10,sst2,1.0,1.0
140,sst2_pre0_ft0_scrate025,sst2,0.0,0.9461009174311926
141,sst2_pre0_ft0_scrate025,sst2,0.25,0.9288990825688074
142,sst2_pre0_ft0_scrate025,sst2,0.5,0.9002293577981652
143,sst2_pre0_ft0_scrate025,sst2,0.75,0.8841743119266054
144,sst2_pre0_ft0_scrate025,sst2,1.0,0.8658256880733946
145,sst2_pre2_ft2_scrate05,sst2,0.0,0.9162844036697247
146,sst2_pre2_ft2_scrate05,sst2,0.25,0.9162844036697247
147,sst2_pre2_ft2_scrate05,sst2,0.5,0.9162844036697247
148,sst2_pre2_ft2_scrate05,sst2,0.75,0.9174311926605505
149,sst2_pre2_ft2_scrate05,sst2,1.0,0.9174311926605505
150,sst2_pre3_ft3_scrate0,sst2,0.0,0.908256880733945
151,sst2_pre3_ft3_scrate0,sst2,0.25,0.9048165137614679
152,sst2_pre3_ft3_scrate0,sst2,0.5,0.9105504587155964
153,sst2_pre3_ft3_scrate0,sst2,0.75,0.9036697247706422
154,sst2_pre3_ft3_scrate0,sst2,1.0,0.9059633027522935
155,sst2_pre3_ft3_scrate10,sst2,0.0,0.0
156,sst2_pre3_ft3_scrate10,sst2,0.25,0.23738532110091742
157,sst2_pre3_ft3_scrate10,sst2,0.5,0.4805045871559633
158,sst2_pre3_ft3_scrate10,sst2,0.75,0.7293577981651376
159,sst2_pre3_ft3_scrate10,sst2,1.0,1.0
160,sst2_pre1_ft1_scrate0,sst2,0.0,0.9208715596330275
161,sst2_pre1_ft1_scrate0,sst2,0.25,0.9208715596330275
162,sst2_pre1_ft1_scrate0,sst2,0.5,0.9208715596330275
163,sst2_pre1_ft1_scrate0,sst2,0.75,0.9208715596330275
164,sst2_pre1_ft1_scrate0,sst2,1.0,0.9220183486238532
165,sst2_pre9_ft9_scrate075,sst2,0.0,0.8325688073394495
166,sst2_pre9_ft9_scrate075,sst2,0.25,0.8635321100917431
167,sst2_pre9_ft9_scrate075,sst2,0.5,0.9013761467889908
168,sst2_pre9_ft9_scrate075,sst2,0.75,0.9369266055045872
169,sst2_pre9_ft9_scrate075,sst2,1.0,0.9564220183486238
170,sst2_pre0_ft0_scrate075,sst2,0.0,0.8371559633027523
171,sst2_pre0_ft0_scrate075,sst2,0.25,0.8623853211009175
172,sst2_pre0_ft0_scrate075,sst2,0.5,0.8956422018348624
173,sst2_pre0_ft0_scrate075,sst2,0.75,0.9254587155963303
174,sst2_pre0_ft0_scrate075,sst2,1.0,0.9598623853211009
175,sst2_pre7_ft7_scrate075,sst2,0.0,0.8807339449541285
176,sst2_pre7_ft7_scrate075,sst2,0.25,0.8967889908256881
177,sst2_pre7_ft7_scrate075,sst2,0.5,0.9151376146788991
178,sst2_pre7_ft7_scrate075,sst2,0.75,0.930045871559633
179,sst2_pre7_ft7_scrate075,sst2,1.0,0.9438073394495413
180,sst2_pre3_ft3_scrate025,sst2,0.0,0.9552752293577982
181,sst2_pre3_ft3_scrate025,sst2,0.25,0.9288990825688074
182,sst2_pre3_ft3_scrate025,sst2,0.5,0.9002293577981652
183,sst2_pre3_ft3_scrate025,sst2,0.75,0.8784403669724771
184,sst2_pre3_ft3_scrate025,sst2,1.0,0.8555045871559633
185,sst2_pre4_ft4_scrate05,sst2,0.0,0.9139908256880734
186,sst2_pre4_ft4_scrate05,sst2,0.25,0.9139908256880734
187,sst2_pre4_ft4_scrate05,sst2,0.5,0.9128440366972477
188,sst2_pre4_ft4_scrate05,sst2,0.75,0.9128440366972477
189,sst2_pre4_ft4_scrate05,sst2,1.0,0.911697247706422
190,sst2_pre5_ft5_scrate0,sst2,0.0,0.908256880733945
191,sst2_pre5_ft5_scrate0,sst2,0.25,0.9105504587155964
192,sst2_pre5_ft5_scrate0,sst2,0.5,0.911697247706422
193,sst2_pre5_ft5_scrate0,sst2,0.75,0.9094036697247706
194,sst2_pre5_ft5_scrate0,sst2,1.0,0.911697247706422
195,sst2_pre4_ft4_scrate075,sst2,0.0,0.8853211009174312
196,sst2_pre4_ft4_scrate075,sst2,0.25,0.893348623853211
197,sst2_pre4_ft4_scrate075,sst2,0.5,0.9048165137614679
198,sst2_pre4_ft4_scrate075,sst2,0.75,0.9208715596330275
199,sst2_pre4_ft4_scrate075,sst2,1.0,0.9369266055045872
200,sst2_pre5_ft5_scrate075,sst2,0.0,0.8727064220183486
201,sst2_pre5_ft5_scrate075,sst2,0.25,0.8887614678899083
202,sst2_pre5_ft5_scrate075,sst2,0.5,0.9013761467889908
203,sst2_pre5_ft5_scrate075,sst2,0.75,0.9254587155963303
204,sst2_pre5_ft5_scrate075,sst2,1.0,0.9438073394495413
205,sst2_pre9_ft9_scrate025,sst2,0.0,0.9426605504587156
206,sst2_pre9_ft9_scrate025,sst2,0.25,0.9220183486238532
207,sst2_pre9_ft9_scrate025,sst2,0.5,0.9059633027522935
208,sst2_pre9_ft9_scrate025,sst2,0.75,0.8899082568807339
209,sst2_pre9_ft9_scrate025,sst2,1.0,0.8715596330275229
210,sst2_pre1_ft1_scrate05,sst2,0.0,0.9185779816513762
211,sst2_pre1_ft1_scrate05,sst2,0.25,0.9197247706422018
212,sst2_pre1_ft1_scrate05,sst2,0.5,0.9197247706422018
213,sst2_pre1_ft1_scrate05,sst2,0.75,0.9197247706422018
214,sst2_pre1_ft1_scrate05,sst2,1.0,0.9197247706422018
215,sst2_pre4_ft4_scrate025,sst2,0.0,0.948394495412844
216,sst2_pre4_ft4_scrate025,sst2,0.25,0.9311926605504587
217,sst2_pre4_ft4_scrate025,sst2,0.5,0.9002293577981652
218,sst2_pre4_ft4_scrate025,sst2,0.75,0.8853211009174312
219,sst2_pre4_ft4_scrate025,sst2,1.0,0.8612385321100917
220,sst2_pre6_ft6_scrate05,sst2,0.0,0.9277522935779816
221,sst2_pre6_ft6_scrate05,sst2,0.25,0.9288990825688074
222,sst2_pre6_ft6_scrate05,sst2,0.5,0.9288990825688074
223,sst2_pre6_ft6_scrate05,sst2,0.75,0.9277522935779816
224,sst2_pre6_ft6_scrate05,sst2,1.0,0.9277522935779816
225,sst2_pre1_ft1_scrate075,sst2,0.0,0.8577981651376146
226,sst2_pre1_ft1_scrate075,sst2,0.25,0.875
227,sst2_pre1_ft1_scrate075,sst2,0.5,0.9013761467889908
228,sst2_pre1_ft1_scrate075,sst2,0.75,0.9243119266055045
229,sst2_pre1_ft1_scrate075,sst2,1.0,0.9472477064220184
230,sst2_pre8_ft8_scrate0,sst2,0.0,0.9139908256880734
231,sst2_pre8_ft8_scrate0,sst2,0.25,0.9162844036697247
232,sst2_pre8_ft8_scrate0,sst2,0.5,0.9128440366972477
233,sst2_pre8_ft8_scrate0,sst2,0.75,0.9139908256880734
234,sst2_pre8_ft8_scrate0,sst2,1.0,0.9128440366972477
235,sst2_pre6_ft6_scrate025,sst2,0.0,0.9541284403669725
236,sst2_pre6_ft6_scrate025,sst2,0.25,0.9369266055045872
237,sst2_pre6_ft6_scrate025,sst2,0.5,0.9094036697247706
238,sst2_pre6_ft6_scrate025,sst2,0.75,0.8910550458715596
239,sst2_pre6_ft6_scrate025,sst2,1.0,0.8761467889908257
240,sst2_pre8_ft8_scrate025,sst2,0.0,0.9564220183486238
241,sst2_pre8_ft8_scrate025,sst2,0.25,0.9438073394495413
242,sst2_pre8_ft8_scrate025,sst2,0.5,0.9243119266055045
243,sst2_pre8_ft8_scrate025,sst2,0.75,0.9025229357798165
244,sst2_pre8_ft8_scrate025,sst2,1.0,0.8841743119266054
245,sst2_pre8_ft8_scrate10,sst2,0.0,0.0
246,sst2_pre8_ft8_scrate10,sst2,0.25,0.23738532110091742
247,sst2_pre8_ft8_scrate10,sst2,0.5,0.4805045871559633
248,sst2_pre8_ft8_scrate10,sst2,0.75,0.7293577981651376
249,sst2_pre8_ft8_scrate10,sst2,1.0,1.0
