,similarity_measure,quality_measure,value,domain,architecture,representation_dataset,identifier
35,RSA,AUPRC,0.9999999999999999,VISION,VGG11,ImageNet100,Normal
36,RSMNormDifference,violation_rate,0.0,VISION,VGG11,ImageNet100,Normal
37,RSMNormDifference,AUPRC,0.9999999999999999,VISION,VGG11,ImageNet100,Normal
38,ConcentricityDifference,violation_rate,0.0,VISION,VGG11,ImageNet100,Normal
39,ConcentricityDifference,AUPRC,0.9999999999999999,VISION,VGG11,ImageNet100,Normal
40,MagnitudeDifference,violation_rate,0.0,VISION,VGG11,ImageNet100,Normal
41,MagnitudeDifference,AUPRC,0.9999999999999999,VISION,VGG11,ImageNet100,Normal
42,UniformityDifference,violation_rate,0.09999999999999999,VISION,VGG11,ImageNet100,Normal
43,UniformityDifference,AUPRC,0.749966495716647,VISION,VGG11,ImageNet100,Normal
44,CKA,violation_rate,0.0,VISION,VGG11,ImageNet100,Normal
45,CKA,AUPRC,0.9999999999999999,VISION,VGG11,ImageNet100,Normal
46,PWCCA,violation_rate,,VISION,VGG19,ImageNet100,Normal
47,PWCCA,AUPRC,,VISION,VGG19,ImageNet100,Normal
48,SVCCA,violation_rate,0.112,VISION,VGG19,ImageNet100,Normal
49,SVCCA,AUPRC,0.7840475259747706,VISION,VGG19,ImageNet100,Normal
50,HardCorrelationMatch,violation_rate,0.32666666666666666,VISION,VGG19,ImageNet100,Normal
51,HardCorrelationMatch,AUPRC,0.598573344471682,VISION,VGG19,ImageNet100,Normal
52,SoftCorrelationMatch,violation_rate,0.43533333333333335,VISION,VGG19,ImageNet100,Normal
53,SoftCorrelationMatch,AUPRC,0.4582939390905516,VISION,VGG19,ImageNet100,Normal
54,DistanceCorrelation,violation_rate,0.2333333333333333,VISION,VGG19,ImageNet100,Normal
55,DistanceCorrelation,AUPRC,0.7681555235431085,VISION,VGG19,ImageNet100,Normal
56,EigenspaceOverlapScore,violation_rate,0.41333333333333333,VISION,VGG19,ImageNet100,Normal
57,EigenspaceOverlapScore,AUPRC,0.49535381855562277,VISION,VGG19,ImageNet100,Normal
58,IMDScore,violation_rate,0.0,VISION,VGG19,ImageNet100,Normal
59,IMDScore,AUPRC,0.9999999999999999,VISION,VGG19,ImageNet100,Normal
60,Gulp,violation_rate,0.37600000000000006,VISION,VGG19,ImageNet100,Normal
61,Gulp,AUPRC,0.437983527209467,VISION,VGG19,ImageNet100,Normal
62,LinearRegression,violation_rate,,VISION,VGG19,ImageNet100,Normal
63,LinearRegression,AUPRC,,VISION,VGG19,ImageNet100,Normal
64,JaccardSimilarity,violation_rate,0.3,VISION,VGG19,ImageNet100,Normal
65,JaccardSimilarity,AUPRC,0.7315712808582369,VISION,VGG19,ImageNet100,Normal
66,RankSimilarity,violation_rate,0.2853333333333333,VISION,VGG19,ImageNet100,Normal
67,RankSimilarity,AUPRC,0.7324682412460309,VISION,VGG19,ImageNet100,Normal
68,SecondOrderCosineSimilarity,violation_rate,0.3333333333333333,VISION,VGG19,ImageNet100,Normal
69,SecondOrderCosineSimilarity,AUPRC,0.7005204002180835,VISION,VGG19,ImageNet100,Normal
70,AlignedCosineSimilarity,violation_rate,0.4533333333333333,VISION,VGG19,ImageNet100,Normal
71,AlignedCosineSimilarity,AUPRC,0.45668652852339026,VISION,VGG19,ImageNet100,Normal
72,OrthogonalAngularShapeMetricCentered,violation_rate,0.18000000000000002,VISION,VGG19,ImageNet100,Normal
73,OrthogonalAngularShapeMetricCentered,AUPRC,0.801896065240774,VISION,VGG19,ImageNet100,Normal
74,OrthogonalProcrustesCenteredAndNormalized,violation_rate,0.18000000000000002,VISION,VGG19,ImageNet100,Normal
75,OrthogonalProcrustesCenteredAndNormalized,AUPRC,0.801896065240774,VISION,VGG19,ImageNet100,Normal
76,PermutationProcrustes,violation_rate,0.16666666666666666,VISION,VGG19,ImageNet100,Normal
77,PermutationProcrustes,AUPRC,0.7243139656138712,VISION,VGG19,ImageNet100,Normal
78,ProcrustesSizeAndShapeDistance,violation_rate,0.16666666666666666,VISION,VGG19,ImageNet100,Normal
79,ProcrustesSizeAndShapeDistance,AUPRC,0.7243139656138712,VISION,VGG19,ImageNet100,Normal
80,RSA,violation_rate,0.246,VISION,VGG19,ImageNet100,Normal
81,RSA,AUPRC,0.7624750398579144,VISION,VGG19,ImageNet100,Normal
82,RSMNormDifference,violation_rate,0.0,VISION,VGG19,ImageNet100,Normal
83,RSMNormDifference,AUPRC,0.9999999999999999,VISION,VGG19,ImageNet100,Normal
84,ConcentricityDifference,violation_rate,0.16066666666666665,VISION,VGG19,ImageNet100,Normal
85,ConcentricityDifference,AUPRC,0.5726098451742773,VISION,VGG19,ImageNet100,Normal
86,MagnitudeDifference,violation_rate,0.0,VISION,VGG19,ImageNet100,Normal
87,MagnitudeDifference,AUPRC,0.9999999999999999,VISION,VGG19,ImageNet100,Normal
88,UniformityDifference,violation_rate,0.19000000000000003,VISION,VGG19,ImageNet100,Normal
89,UniformityDifference,AUPRC,0.5737569772657491,VISION,VGG19,ImageNet100,Normal
90,CKA,violation_rate,0.246,VISION,VGG19,ImageNet100,Normal
91,CKA,AUPRC,0.7653950076289537,VISION,VGG19,ImageNet100,Normal
92,PWCCA,violation_rate,,VISION,ResNet18,ImageNet100,Normal
93,PWCCA,AUPRC,,VISION,ResNet18,ImageNet100,Normal
94,SVCCA,violation_rate,0.0,VISION,ResNet18,ImageNet100,Normal
95,SVCCA,AUPRC,0.9999999999999999,VISION,ResNet18,ImageNet100,Normal
96,HardCorrelationMatch,violation_rate,0.16666666666666666,VISION,ResNet18,ImageNet100,Normal
97,HardCorrelationMatch,AUPRC,0.7243139656138712,VISION,ResNet18,ImageNet100,Normal
98,SoftCorrelationMatch,violation_rate,0.16666666666666666,VISION,ResNet18,ImageNet100,Normal
99,SoftCorrelationMatch,AUPRC,0.7243139656138712,VISION,ResNet18,ImageNet100,Normal
100,DistanceCorrelation,violation_rate,0.0,VISION,ResNet18,ImageNet100,Normal
101,DistanceCorrelation,AUPRC,0.9999999999999999,VISION,ResNet18,ImageNet100,Normal
102,EigenspaceOverlapScore,violation_rate,0.04733333333333333,VISION,ResNet18,ImageNet100,Normal
103,EigenspaceOverlapScore,AUPRC,0.8372414622414621,VISION,ResNet18,ImageNet100,Normal
104,IMDScore,violation_rate,0.0,VISION,ResNet18,ImageNet100,Normal
105,IMDScore,AUPRC,0.9999999999999999,VISION,ResNet18,ImageNet100,Normal
106,Gulp,violation_rate,0.03,VISION,ResNet18,ImageNet100,Normal
107,Gulp,AUPRC,0.8929248366013072,VISION,ResNet18,ImageNet100,Normal
108,LinearRegression,violation_rate,,VISION,ResNet18,ImageNet100,Normal
109,LinearRegression,AUPRC,,VISION,ResNet18,ImageNet100,Normal
110,JaccardSimilarity,violation_rate,0.0,VISION,ResNet18,ImageNet100,Normal
111,JaccardSimilarity,AUPRC,0.9999999999999999,VISION,ResNet18,ImageNet100,Normal
112,RankSimilarity,violation_rate,0.0,VISION,ResNet18,ImageNet100,Normal
113,RankSimilarity,AUPRC,0.9999999999999999,VISION,ResNet18,ImageNet100,Normal
114,SecondOrderCosineSimilarity,violation_rate,0.212,VISION,ResNet18,ImageNet100,Normal
115,SecondOrderCosineSimilarity,AUPRC,0.7122531309445205,VISION,ResNet18,ImageNet100,Normal
116,AlignedCosineSimilarity,violation_rate,0.16666666666666666,VISION,ResNet18,ImageNet100,Normal
117,AlignedCosineSimilarity,AUPRC,0.7243139656138712,VISION,ResNet18,ImageNet100,Normal
118,OrthogonalAngularShapeMetricCentered,violation_rate,0.16666666666666666,VISION,ResNet18,ImageNet100,Normal
119,OrthogonalAngularShapeMetricCentered,AUPRC,0.7243139656138712,VISION,ResNet18,ImageNet100,Normal
120,OrthogonalProcrustesCenteredAndNormalized,violation_rate,0.16666666666666666,VISION,ResNet18,ImageNet100,Normal
121,OrthogonalProcrustesCenteredAndNormalized,AUPRC,0.7243139656138712,VISION,ResNet18,ImageNet100,Normal
122,PermutationProcrustes,violation_rate,0.3333333333333333,VISION,ResNet18,ImageNet100,Normal
123,PermutationProcrustes,AUPRC,0.6988915422961454,VISION,ResNet18,ImageNet100,Normal
124,ProcrustesSizeAndShapeDistance,violation_rate,0.16666666666666666,VISION,ResNet18,ImageNet100,Normal
125,ProcrustesSizeAndShapeDistance,AUPRC,0.7243139656138712,VISION,ResNet18,ImageNet100,Normal
126,RSA,violation_rate,0.11066666666666668,VISION,ResNet18,ImageNet100,Normal
127,RSA,AUPRC,0.74926845485669,VISION,ResNet18,ImageNet100,Normal
128,RSMNormDifference,violation_rate,0.0,VISION,ResNet18,ImageNet100,Normal
129,RSMNormDifference,AUPRC,0.9999999999999999,VISION,ResNet18,ImageNet100,Normal
130,ConcentricityDifference,violation_rate,0.0033333333333333335,VISION,ResNet18,ImageNet100,Normal
131,ConcentricityDifference,AUPRC,0.9888888888888888,VISION,ResNet18,ImageNet100,Normal
132,MagnitudeDifference,violation_rate,0.0,VISION,ResNet18,ImageNet100,Normal
133,MagnitudeDifference,AUPRC,0.9999999999999999,VISION,ResNet18,ImageNet100,Normal
134,UniformityDifference,violation_rate,0.38000000000000006,VISION,ResNet18,ImageNet100,Normal
135,UniformityDifference,AUPRC,0.4223059691712942,VISION,ResNet18,ImageNet100,Normal
136,CKA,violation_rate,0.0,VISION,ResNet18,ImageNet100,Normal
137,CKA,AUPRC,0.9999999999999999,VISION,ResNet18,ImageNet100,Normal
138,PWCCA,violation_rate,,VISION,ResNet34,ImageNet100,Normal
139,PWCCA,AUPRC,,VISION,ResNet34,ImageNet100,Normal
140,SVCCA,violation_rate,0.03,VISION,ResNet34,ImageNet100,Normal
141,SVCCA,AUPRC,0.9363858363858363,VISION,ResNet34,ImageNet100,Normal
142,HardCorrelationMatch,violation_rate,0.16666666666666666,VISION,ResNet34,ImageNet100,Normal
143,HardCorrelationMatch,AUPRC,0.7243139656138712,VISION,ResNet34,ImageNet100,Normal
144,SoftCorrelationMatch,violation_rate,0.16666666666666666,VISION,ResNet34,ImageNet100,Normal
145,SoftCorrelationMatch,AUPRC,0.7243139656138712,VISION,ResNet34,ImageNet100,Normal
146,DistanceCorrelation,violation_rate,0.0,VISION,ResNet34,ImageNet100,Normal
147,DistanceCorrelation,AUPRC,0.9999999999999999,VISION,ResNet34,ImageNet100,Normal
148,EigenspaceOverlapScore,violation_rate,0.166,VISION,ResNet34,ImageNet100,Normal
149,EigenspaceOverlapScore,AUPRC,0.7243652476651533,VISION,ResNet34,ImageNet100,Normal
150,IMDScore,violation_rate,0.0,VISION,ResNet34,ImageNet100,Normal
151,IMDScore,AUPRC,0.9999999999999999,VISION,ResNet34,ImageNet100,Normal
152,Gulp,violation_rate,0.162,VISION,ResNet34,ImageNet100,Normal
153,Gulp,AUPRC,0.7247863002967322,VISION,ResNet34,ImageNet100,Normal
154,LinearRegression,violation_rate,,VISION,ResNet34,ImageNet100,Normal
155,LinearRegression,AUPRC,,VISION,ResNet34,ImageNet100,Normal
156,JaccardSimilarity,violation_rate,0.0,VISION,ResNet34,ImageNet100,Normal
157,JaccardSimilarity,AUPRC,0.9999999999999999,VISION,ResNet34,ImageNet100,Normal
158,RankSimilarity,violation_rate,0.0,VISION,ResNet34,ImageNet100,Normal
159,RankSimilarity,AUPRC,0.9999999999999999,VISION,ResNet34,ImageNet100,Normal
160,SecondOrderCosineSimilarity,violation_rate,0.24733333333333332,VISION,ResNet34,ImageNet100,Normal
161,SecondOrderCosineSimilarity,AUPRC,0.7067500990793386,VISION,ResNet34,ImageNet100,Normal
162,AlignedCosineSimilarity,violation_rate,0.16666666666666666,VISION,ResNet34,ImageNet100,Normal
163,AlignedCosineSimilarity,AUPRC,0.7243139656138712,VISION,ResNet34,ImageNet100,Normal
164,OrthogonalAngularShapeMetricCentered,violation_rate,0.16666666666666666,VISION,ResNet34,ImageNet100,Normal
165,OrthogonalAngularShapeMetricCentered,AUPRC,0.7243139656138712,VISION,ResNet34,ImageNet100,Normal
166,OrthogonalProcrustesCenteredAndNormalized,violation_rate,0.16666666666666666,VISION,ResNet34,ImageNet100,Normal
167,OrthogonalProcrustesCenteredAndNormalized,AUPRC,0.7243139656138712,VISION,ResNet34,ImageNet100,Normal
168,PermutationProcrustes,violation_rate,0.3333333333333333,VISION,ResNet34,ImageNet100,Normal
169,PermutationProcrustes,AUPRC,0.6988915422961454,VISION,ResNet34,ImageNet100,Normal
170,ProcrustesSizeAndShapeDistance,violation_rate,0.23933333333333331,VISION,ResNet34,ImageNet100,Normal
171,ProcrustesSizeAndShapeDistance,AUPRC,0.7076547769644869,VISION,ResNet34,ImageNet100,Normal
172,RSA,violation_rate,0.16666666666666666,VISION,ResNet34,ImageNet100,Normal
173,RSA,AUPRC,0.7243139656138712,VISION,ResNet34,ImageNet100,Normal
174,RSMNormDifference,violation_rate,0.0,VISION,ResNet34,ImageNet100,Normal
175,RSMNormDifference,AUPRC,0.9999999999999999,VISION,ResNet34,ImageNet100,Normal
176,ConcentricityDifference,violation_rate,0.0,VISION,ResNet34,ImageNet100,Normal
177,ConcentricityDifference,AUPRC,0.9999999999999999,VISION,ResNet34,ImageNet100,Normal
178,MagnitudeDifference,violation_rate,0.0,VISION,ResNet34,ImageNet100,Normal
179,MagnitudeDifference,AUPRC,0.9999999999999999,VISION,ResNet34,ImageNet100,Normal
180,UniformityDifference,violation_rate,0.43333333333333335,VISION,ResNet34,ImageNet100,Normal
181,UniformityDifference,AUPRC,0.41512716798431076,VISION,ResNet34,ImageNet100,Normal
182,CKA,violation_rate,0.0,VISION,ResNet34,ImageNet100,Normal
183,CKA,AUPRC,0.9999999999999999,VISION,ResNet34,ImageNet100,Normal
184,PWCCA,violation_rate,,VISION,ResNet101,ImageNet100,Normal
185,PWCCA,AUPRC,,VISION,ResNet101,ImageNet100,Normal
186,SVCCA,violation_rate,0.042,VISION,ResNet101,ImageNet100,Normal
187,SVCCA,AUPRC,0.9520265291083271,VISION,ResNet101,ImageNet100,Normal
188,HardCorrelationMatch,violation_rate,0.16666666666666666,VISION,ResNet101,ImageNet100,Normal
189,HardCorrelationMatch,AUPRC,0.7243139656138712,VISION,ResNet101,ImageNet100,Normal
190,SoftCorrelationMatch,violation_rate,0.16666666666666666,VISION,ResNet101,ImageNet100,Normal
191,SoftCorrelationMatch,AUPRC,0.7243139656138712,VISION,ResNet101,ImageNet100,Normal
192,DistanceCorrelation,violation_rate,0.0,VISION,ResNet101,ImageNet100,Normal
193,DistanceCorrelation,AUPRC,0.9999999999999999,VISION,ResNet101,ImageNet100,Normal
194,EigenspaceOverlapScore,violation_rate,0.27066666666666667,VISION,ResNet101,ImageNet100,Normal
195,EigenspaceOverlapScore,AUPRC,0.7033852339945769,VISION,ResNet101,ImageNet100,Normal
196,IMDScore,violation_rate,0.0,VISION,ResNet101,ImageNet100,Normal
197,IMDScore,AUPRC,0.9999999999999999,VISION,ResNet101,ImageNet100,Normal
198,Gulp,violation_rate,0.068,VISION,ResNet101,ImageNet100,Normal
199,Gulp,AUPRC,0.6494792244792245,VISION,ResNet101,ImageNet100,Normal
200,LinearRegression,violation_rate,,VISION,ResNet101,ImageNet100,Normal
201,LinearRegression,AUPRC,,VISION,ResNet101,ImageNet100,Normal
202,JaccardSimilarity,violation_rate,0.0,VISION,ResNet101,ImageNet100,Normal
203,JaccardSimilarity,AUPRC,0.9999999999999999,VISION,ResNet101,ImageNet100,Normal
204,RankSimilarity,violation_rate,0.0,VISION,ResNet101,ImageNet100,Normal
205,RankSimilarity,AUPRC,0.9999999999999999,VISION,ResNet101,ImageNet100,Normal
206,SecondOrderCosineSimilarity,violation_rate,0.25666666666666665,VISION,ResNet101,ImageNet100,Normal
207,SecondOrderCosineSimilarity,AUPRC,0.7052313453248126,VISION,ResNet101,ImageNet100,Normal
208,AlignedCosineSimilarity,violation_rate,0.057999999999999996,VISION,ResNet101,ImageNet100,Normal
209,AlignedCosineSimilarity,AUPRC,0.8493437118437117,VISION,ResNet101,ImageNet100,Normal
210,OrthogonalAngularShapeMetricCentered,violation_rate,0.0,VISION,ResNet101,ImageNet100,Normal
211,OrthogonalAngularShapeMetricCentered,AUPRC,0.9999999999999999,VISION,ResNet101,ImageNet100,Normal
212,OrthogonalProcrustesCenteredAndNormalized,violation_rate,0.0,VISION,ResNet101,ImageNet100,Normal
213,OrthogonalProcrustesCenteredAndNormalized,AUPRC,0.9999999999999999,VISION,ResNet101,ImageNet100,Normal
214,PermutationProcrustes,violation_rate,0.25266666666666665,VISION,ResNet101,ImageNet100,Normal
215,PermutationProcrustes,AUPRC,0.7061085816118148,VISION,ResNet101,ImageNet100,Normal
216,ProcrustesSizeAndShapeDistance,violation_rate,0.14666666666666667,VISION,ResNet101,ImageNet100,Normal
217,ProcrustesSizeAndShapeDistance,AUPRC,0.7285518074742621,VISION,ResNet101,ImageNet100,Normal
218,RSA,violation_rate,0.0,VISION,ResNet101,ImageNet100,Normal
219,RSA,AUPRC,0.9999999999999999,VISION,ResNet101,ImageNet100,Normal
220,RSMNormDifference,violation_rate,0.0,VISION,ResNet101,ImageNet100,Normal
221,RSMNormDifference,AUPRC,0.9999999999999999,VISION,ResNet101,ImageNet100,Normal
222,ConcentricityDifference,violation_rate,0.0,VISION,ResNet101,ImageNet100,Normal
223,ConcentricityDifference,AUPRC,0.9999999999999999,VISION,ResNet101,ImageNet100,Normal
224,MagnitudeDifference,violation_rate,0.0,VISION,ResNet101,ImageNet100,Normal
225,MagnitudeDifference,AUPRC,0.9999999999999999,VISION,ResNet101,ImageNet100,Normal
226,UniformityDifference,violation_rate,0.3333333333333333,VISION,ResNet101,ImageNet100,Normal
227,UniformityDifference,AUPRC,0.5238095238095237,VISION,ResNet101,ImageNet100,Normal
228,CKA,violation_rate,0.0,VISION,ResNet101,ImageNet100,Normal
229,CKA,AUPRC,0.9999999999999999,VISION,ResNet101,ImageNet100,Normal
230,PWCCA,violation_rate,,VISION,ViT_B32,ImageNet100,Normal
231,PWCCA,AUPRC,,VISION,ViT_B32,ImageNet100,Normal
232,SVCCA,violation_rate,0.2846666666666667,VISION,ViT_B32,ImageNet100,Normal
233,SVCCA,AUPRC,0.5243392273586285,VISION,ViT_B32,ImageNet100,Normal
234,HardCorrelationMatch,violation_rate,0.318,VISION,ViT_B32,ImageNet100,Normal
235,HardCorrelationMatch,AUPRC,0.5317555916257973,VISION,ViT_B32,ImageNet100,Normal
236,SoftCorrelationMatch,violation_rate,0.37533333333333335,VISION,ViT_B32,ImageNet100,Normal
237,SoftCorrelationMatch,AUPRC,0.5189647208198365,VISION,ViT_B32,ImageNet100,Normal
238,DistanceCorrelation,violation_rate,0.24533333333333332,VISION,ViT_B32,ImageNet100,Normal
239,DistanceCorrelation,AUPRC,0.5877969514007786,VISION,ViT_B32,ImageNet100,Normal
240,EigenspaceOverlapScore,violation_rate,0.21266666666666667,VISION,ViT_B32,ImageNet100,Normal
241,EigenspaceOverlapScore,AUPRC,0.6225430986008901,VISION,ViT_B32,ImageNet100,Normal
242,IMDScore,violation_rate,0.226,VISION,ViT_B32,ImageNet100,Normal
243,IMDScore,AUPRC,0.7260403103186501,VISION,ViT_B32,ImageNet100,Normal
244,Gulp,violation_rate,0.17066666666666666,VISION,ViT_B32,ImageNet100,Normal
245,Gulp,AUPRC,0.4681863305203593,VISION,ViT_B32,ImageNet100,Normal
246,LinearRegression,violation_rate,0.5007407407407407,VISION,ViT_B32,ImageNet100,Normal
247,LinearRegression,AUPRC,0.3382089049106655,VISION,ViT_B32,ImageNet100,Normal
248,JaccardSimilarity,violation_rate,0.2893333333333334,VISION,ViT_B32,ImageNet100,Normal
249,JaccardSimilarity,AUPRC,0.4963331513365005,VISION,ViT_B32,ImageNet100,Normal
250,RankSimilarity,violation_rate,0.18799999999999997,VISION,ViT_B32,ImageNet100,Normal
251,RankSimilarity,AUPRC,0.7459616953095214,VISION,ViT_B32,ImageNet100,Normal
252,SecondOrderCosineSimilarity,violation_rate,0.21203703703703702,VISION,ViT_B32,ImageNet100,Normal
253,SecondOrderCosineSimilarity,AUPRC,0.5366542357359448,VISION,ViT_B32,ImageNet100,Normal
254,AlignedCosineSimilarity,violation_rate,0.246,VISION,ViT_B32,ImageNet100,Normal
255,AlignedCosineSimilarity,AUPRC,0.5785092667285272,VISION,ViT_B32,ImageNet100,Normal
256,OrthogonalAngularShapeMetricCentered,violation_rate,0.302,VISION,ViT_B32,ImageNet100,Normal
257,OrthogonalAngularShapeMetricCentered,AUPRC,0.5464586774578312,VISION,ViT_B32,ImageNet100,Normal
258,OrthogonalProcrustesCenteredAndNormalized,violation_rate,0.302,VISION,ViT_B32,ImageNet100,Normal
259,OrthogonalProcrustesCenteredAndNormalized,AUPRC,0.5464586774578312,VISION,ViT_B32,ImageNet100,Normal
260,PermutationProcrustes,violation_rate,0.5,VISION,ViT_B32,ImageNet100,Normal
261,PermutationProcrustes,AUPRC,0.4232055079100166,VISION,ViT_B32,ImageNet100,Normal
262,ProcrustesSizeAndShapeDistance,violation_rate,0.3333333333333333,VISION,ViT_B32,ImageNet100,Normal
263,ProcrustesSizeAndShapeDistance,AUPRC,0.6988915422961454,VISION,ViT_B32,ImageNet100,Normal
264,RSA,violation_rate,0.35185185185185186,VISION,ViT_B32,ImageNet100,Normal
265,RSA,AUPRC,0.49129443549289187,VISION,ViT_B32,ImageNet100,Normal
266,RSMNormDifference,violation_rate,0.0,VISION,ViT_B32,ImageNet100,Normal
267,RSMNormDifference,AUPRC,1.0,VISION,ViT_B32,ImageNet100,Normal
268,ConcentricityDifference,violation_rate,0.09999999999999999,VISION,ViT_B32,ImageNet100,Normal
269,ConcentricityDifference,AUPRC,0.7308835970330222,VISION,ViT_B32,ImageNet100,Normal
270,MagnitudeDifference,violation_rate,0.0,VISION,ViT_B32,ImageNet100,Normal
271,MagnitudeDifference,AUPRC,0.9999999999999999,VISION,ViT_B32,ImageNet100,Normal
272,UniformityDifference,violation_rate,0.3333333333333333,VISION,ViT_B32,ImageNet100,Normal
273,UniformityDifference,AUPRC,0.5238095238095237,VISION,ViT_B32,ImageNet100,Normal
274,CKA,violation_rate,0.2813333333333333,VISION,ViT_B32,ImageNet100,Normal
275,CKA,AUPRC,0.5555744912666275,VISION,ViT_B32,ImageNet100,Normal
276,PWCCA,violation_rate,,VISION,ViT_L32,ImageNet100,Normal
277,PWCCA,AUPRC,,VISION,ViT_L32,ImageNet100,Normal
278,SVCCA,violation_rate,0.23064814814814816,VISION,ViT_L32,ImageNet100,Normal
279,SVCCA,AUPRC,0.5764651395852853,VISION,ViT_L32,ImageNet100,Normal
280,HardCorrelationMatch,violation_rate,0.05925925925925926,VISION,ViT_L32,ImageNet100,Normal
281,HardCorrelationMatch,AUPRC,0.9062883901964361,VISION,ViT_L32,ImageNet100,Normal
282,SoftCorrelationMatch,violation_rate,0.05925925925925926,VISION,ViT_L32,ImageNet100,Normal
283,SoftCorrelationMatch,AUPRC,0.9062883901964361,VISION,ViT_L32,ImageNet100,Normal
284,DistanceCorrelation,violation_rate,0.09722222222222222,VISION,ViT_L32,ImageNet100,Normal
285,DistanceCorrelation,AUPRC,0.904071773636991,VISION,ViT_L32,ImageNet100,Normal
286,EigenspaceOverlapScore,violation_rate,0.25,VISION,ViT_L32,ImageNet100,Normal
287,EigenspaceOverlapScore,AUPRC,0.7007132235429198,VISION,ViT_L32,ImageNet100,Normal
288,IMDScore,violation_rate,0.19999999999999998,VISION,ViT_L32,ImageNet100,Normal
289,IMDScore,AUPRC,0.8006410525766251,VISION,ViT_L32,ImageNet100,Normal
290,Gulp,violation_rate,0.07407407407407407,VISION,ViT_L32,ImageNet100,Normal
291,Gulp,AUPRC,0.65503478003478,VISION,ViT_L32,ImageNet100,Normal
292,LinearRegression,violation_rate,0.27555555555555555,VISION,ViT_L32,ImageNet100,Normal
293,LinearRegression,AUPRC,0.478237860663661,VISION,ViT_L32,ImageNet100,Normal
294,JaccardSimilarity,violation_rate,0.14444444444444446,VISION,ViT_L32,ImageNet100,Normal
295,JaccardSimilarity,AUPRC,0.8323458301222478,VISION,ViT_L32,ImageNet100,Normal
296,RankSimilarity,violation_rate,0.16111111111111112,VISION,ViT_L32,ImageNet100,Normal
297,RankSimilarity,AUPRC,0.7692056077714992,VISION,ViT_L32,ImageNet100,Normal
298,SecondOrderCosineSimilarity,violation_rate,0.3333333333333333,VISION,ViT_L32,ImageNet100,Normal
299,SecondOrderCosineSimilarity,AUPRC,0.6895864623601434,VISION,ViT_L32,ImageNet100,Normal
